pid,Direct Instruction,Hint,Negative Feedback,Neutral Feedback,Paraphrase,Pose Simplified Problem,Positive Feedback,Prompt,Provide Correct Answer
preset_10anthropic_claude-sonnet-5,100.0,100.0,0.0,50.0,50.0,0.0,0.0,50.0,50.0
preset_10openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_10together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_11anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
preset_11openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_11together_moonshotai_Kimi-K2.6,100.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0
preset_12anthropic_claude-sonnet-5,100.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,100.0
preset_12openai_gpt-5.6-luna,100.0,50.0,25.0,0.0,25.0,0.0,0.0,0.0,75.0
preset_12together_moonshotai_Kimi-K2.6,100.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0
preset_13anthropic_claude-sonnet-5,100.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,80.0
preset_13openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_13together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_14anthropic_claude-sonnet-5,100.0,20.0,20.0,0.0,20.0,0.0,80.0,20.0,80.0
preset_14openai_gpt-5.6-luna,100.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,100.0
preset_14together_google_gemma-4-31B-it,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_14together_moonshotai_Kimi-K2.6,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_15anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
