condition,batch,population,pid,round,puzzle,ai,transfer,form,variant,consented_at,pretask_at,prompt_rule,prompt_mean_score,prompt_passed,carryover,reached_demographics,effort_median,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
3arm_v9_reasons,3arm_v9_reasons,non-adopters,p291,R1,oc20260727,True,False,contrasting_cases,v9_reasons,2026-08-21T16:52:23.283908+00:00,2026-08-21T16:55:53.660184+00:00,mean,1.667,True,False,True,3.0,1,51.0,bachelors,less_than_monthly,True,3,5,manual,4,3,3,2,1,1,True,38,9.5,232,True,22,42,-20.0,False,b7 b6! g2 b8,1,False,2,4.0,6.0,0.667,1.0,1.0,2.0,22.0,Solvers
3arm_v9_reasons,3arm_v9_reasons,non-adopters,p291,R2,b220260706,False,True,contrasting_cases,v9_reasons,2026-08-21T16:52:23.283908+00:00,2026-08-21T16:55:53.660184+00:00,mean,1.667,True,False,True,3.0,1,51.0,bachelors,less_than_monthly,True,3,0,manual,3,3,3,3,3,3,True,0,0.0,11,True,38,26,12.0,True,g7 h1 g2,1,True,2,4.0,6.0,0.667,1.0,1.0,2.0,22.0,Solvers
3arm_v9_reasons,3arm_v9_reasons,non-adopters,p291,R3,bg20260726,False,True,contrasting_cases,v9_reasons,2026-08-21T16:52:23.283908+00:00,2026-08-21T16:55:53.660184+00:00,mean,1.667,True,False,True,3.0,1,51.0,bachelors,less_than_monthly,True,3,0,manual,3,1,3,1,1,1,True,22,7.3,16,True,23,41,-18.0,False,b2 g7! h8!,1,False,2,4.0,6.0,0.667,1.0,1.0,2.0,22.0,Solvers
3arm_v9_reasons,3arm_v9_reasons,non-adopters,p381,R1,oc20260727,True,False,contrasting_cases,v9_reasons,2026-08-21T18:54:40.105073+00:00,2026-08-21T18:58:43.613987+00:00,mean,2.667,True,False,True,3.0,3,41.0,bachelors,few_times_week,False,3,5,manual,3,2,3,2,2,2,True,38,12.7,62,True,22,42,-20.0,False,b7 c8 b6!,1,False,2,3.0,5.0,0.6,0.0,0.0,1.0,26.0,Solvers
3arm_v9_reasons,3arm_v9_reasons,non-adopters,p381,R2,b220260706,False,True,contrasting_cases,v9_reasons,2026-08-21T18:54:40.105073+00:00,2026-08-21T18:58:43.613987+00:00,mean,2.667,True,False,True,3.0,3,41.0,bachelors,few_times_week,False,3,0,manual,2,1,2,1,0,0,False,16,8.0,4,True,30,34,-4.0,False,g2! g7,1,False,2,3.0,5.0,0.6,0.0,0.0,1.0,26.0,Solvers
3arm_v9_reasons,3arm_v9_reasons,non-adopters,p381,R3,bg20260726,False,True,contrasting_cases,v9_reasons,2026-08-21T18:54:40.105073+00:00,2026-08-21T18:58:43.613987+00:00,mean,2.667,True,False,True,3.0,3,41.0,bachelors,few_times_week,False,3,0,manual,3,2,3,2,1,1,True,10,3.3,15,True,29,35,-6.0,False,b2 h7! g8,1,False,2,3.0,5.0,0.6,0.0,0.0,1.0,26.0,Solvers
3arm_v9_reasons,3arm_v9_reasons,non-adopters,p518,R1,oc20260727,True,False,contrasting_cases,v9_reasons,2026-08-21T16:52:40.392730+00:00,2026-08-21T17:00:59.401444+00:00,mean,2.667,True,False,True,3.0,2,50.0,bachelors,less_than_monthly,True,3,5,manual,3,2,3,2,1,1,True,38,12.7,262,True,22,42,-20.0,False,b7 b6! b8,1,False,2,4.0,6.0,0.667,1.0,1.0,2.0,22.0,Solvers
3arm_v9_reasons,3arm_v9_reasons,non-adopters,p518,R2,b220260706,False,True,contrasting_cases,v9_reasons,2026-08-21T16:52:40.392730+00:00,2026-08-21T17:00:59.401444+00:00,mean,2.667,True,False,True,3.0,2,50.0,bachelors,less_than_monthly,True,3,0,manual,3,3,3,3,3,3,True,0,0.0,11,True,38,26,12.0,True,g7 h1 g2,1,True,2,4.0,6.0,0.667,1.0,1.0,2.0,22.0,Solvers
3arm_v9_reasons,3arm_v9_reasons,non-adopters,p518,R3,bg20260726,False,True,contrasting_cases,v9_reasons,2026-08-21T16:52:40.392730+00:00,2026-08-21T17:00:59.401444+00:00,mean,2.667,True,False,True,3.0,2,50.0,bachelors,less_than_monthly,True,3,0,manual,3,1,3,1,1,1,True,22,7.3,9,True,23,41,-18.0,False,b2 g7! h8!,1,False,2,4.0,6.0,0.667,1.0,1.0,2.0,22.0,Solvers
3arm_v9_reasons,3arm_v9_reasons,non-adopters,p586,R1,oc20260727,True,False,contrasting_cases,v9_reasons,2026-08-21T20:03:14.946764+00:00,2026-08-21T20:07:32.899366+00:00,mean,3.0,True,False,True,4.0,1,32.0,bachelors,never,False,3,6,manual,6,6,3,3,6,3,True,0,0.0,289,True,41,23,18.0,True,b7 c8 a7 a3 a1 h1,1,True,2,4.0,5.0,0.8,1.0,1.0,2.0,12.0,Solvers
