condition,batch,population,pid,round,puzzle,ai,transfer,form,variant,consented_at,pretask_at,prompt_rule,prompt_mean_score,prompt_passed,carryover,reached_demographics,effort_median,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
intervention_esr,intervention_esr,non-adopters,p108,R1,oc20260727,True,False,elicit_select_reply,,2026-08-20T17:26:42.121570+00:00,2026-08-20T17:30:36.909695+00:00,mean,2.0,True,False,True,3.0,3,50.0,postgrad,never,False,2,5,manual,3,1,3,1,1,1,True,42,14.0,72,True,20,44,-24.0,False,b7 b6! c8!,1,False,0,,,,,,,,
intervention_esr,intervention_esr,non-adopters,p135,R1,oc20260727,True,False,elicit_select_reply,,2026-08-20T19:28:13.388774+00:00,2026-08-20T19:30:06.098220+00:00,mean,3.0,True,False,True,3.0,1,68.0,some_postgrad,several_times_day,False,1,5,manual,6,5,3,3,6,3,True,16,2.7,46,True,33,31,2.0,True,b7 c8 a7 a3 a1 g2!,1,False,0,,,,,,,,
intervention_esr,intervention_esr,non-adopters,p167,R1,oc20260727,True,False,elicit_select_reply,,2026-08-20T15:43:44.424927+00:00,2026-08-20T15:45:58.369604+00:00,mean,1.0,True,False,True,2.0,dont_know,40.0,postgrad,never,False,1,5,manual,4,3,3,2,0,0,False,36,9.0,56,True,23,41,-18.0,False,a7! g2 b6 b8,1,False,0,,,,,,,,
intervention_esr,intervention_esr,non-adopters,p22,R1,oc20260727,True,False,elicit_select_reply,,2026-08-20T16:42:57.064003+00:00,2026-08-20T16:48:59.407107+00:00,mean,3.0,True,False,True,3.0,1,30.0,bachelors,never,True,2,5,manual,5,4,3,3,3,3,True,22,4.4,332,True,30,34,-4.0,False,b7 c8 a7 a1! h1,1,False,0,,,,,,,,
intervention_esr,intervention_esr,non-adopters,p231,R1,oc20260727,True,False,elicit_select_reply,,2026-08-20T13:01:30.992300+00:00,2026-08-20T13:07:22.500633+00:00,mean,2.667,True,False,True,2.0,1,24.0,hs_incomplete,about_monthly,False,2,5,manual,5,4,3,2,0,0,False,32,6.4,112,True,25,39,-14.0,False,g2! b7 b6 c8 a8,1,False,0,,,,,,,,
intervention_esr,intervention_esr,non-adopters,p36,R1,oc20260727,True,False,elicit_select_reply,,2026-08-20T17:05:50.642686+00:00,2026-08-20T17:10:01.396522+00:00,mean,2.333,True,False,True,3.0,2,23.0,some_postgrad,weekly,False,3,5,manual,4,1,3,1,0,0,False,46,11.5,48,True,18,46,-28.0,False,b6! b7! b8 g2!,1,False,0,,,,,,,,
intervention_esr,intervention_esr,non-adopters,p566,R1,oc20260727,True,False,elicit_select_reply,,2026-08-20T14:45:32.083933+00:00,2026-08-20T14:53:07.114874+00:00,mean,3.333,True,False,True,2.0,dont_know,61.0,bachelors,less_than_monthly,False,2,5,timeout,1,1,1,1,1,1,True,0,0.0,0,False,24,32,,,b7,1,False,0,,,,,,,,
intervention_esr,intervention_esr,non-adopters,p586,R1,oc20260727,True,False,elicit_select_reply,,2026-08-20T13:01:50.937684+00:00,2026-08-20T13:06:39.620791+00:00,mean,3.0,True,False,True,3.0,dont_know,32.0,bachelors,less_than_monthly,False,1,6,manual,3,2,3,2,1,1,True,38,12.7,158,True,22,42,-20.0,False,b7 b6! b8,1,False,0,,,,,,,,
intervention_esr,intervention_esr,non-adopters,p653,R1,oc20260727,True,False,elicit_select_reply,,2026-08-20T17:26:25.302134+00:00,2026-08-20T17:29:28.973379+00:00,mean,1.0,True,False,True,3.0,dont_know,24.0,bachelors,few_times_week,True,1,5,manual,4,2,3,2,1,1,True,36,9.0,86,True,23,41,-18.0,False,b7 g2! c8 b6!,1,False,0,,,,,,,,
intervention_esr,intervention_esr,non-adopters,p703,R1,oc20260727,True,False,elicit_select_reply,,2026-08-20T13:01:26.882118+00:00,2026-08-20T13:05:53.578209+00:00,mean,2.667,True,False,True,3.0,2,67.0,bachelors,few_times_week,False,1,5,manual,4,2,3,1,0,0,False,40,10.0,79,True,21,43,-22.0,False,b6! b7! b8 a7,1,False,0,,,,,,,,
intervention_esr,intervention_esr,non-adopters,p710,R1,oc20260727,True,False,elicit_select_reply,,2026-08-20T13:02:48.440133+00:00,2026-08-20T13:04:51.344977+00:00,mean,2.0,True,False,True,2.0,2,31.0,postgrad,never,False,1,6,manual,6,6,3,3,6,3,True,0,0.0,78,True,41,23,18.0,True,b7 c8 a7 a3 a1 h1,1,True,0,,,,,,,,
intervention_esr,intervention_esr,non-adopters,p758,R1,oc20260727,True,False,elicit_select_reply,,2026-08-20T14:45:05.300489+00:00,2026-08-20T14:50:35.245946+00:00,mean,3.0,True,False,True,2.0,2,38.0,bachelors,several_times_day,True,2,10,manual,5,4,3,2,2,2,True,24,4.8,320,True,29,35,-6.0,False,b7 c8 g2! a1 a7,1,False,0,,,,,,,,
intervention_esr,intervention_esr,non-adopters,p776,R1,oc20260727,True,False,elicit_select_reply,,2026-08-20T13:01:57.305523+00:00,2026-08-20T13:07:26.662333+00:00,mean,3.0,True,False,True,4.0,1,39.0,hs_graduate,about_monthly,False,2,5,manual,3,2,3,2,1,1,True,38,12.7,91,True,22,42,-20.0,False,b7 b6! b8,1,False,0,,,,,,,,
intervention_esr,intervention_esr,non-adopters,p79,R1,oc20260727,True,False,elicit_select_reply,,2026-08-20T14:45:13.855268+00:00,2026-08-20T14:46:54.832100+00:00,mean,1.333,True,False,True,2.0,dont_know,34.0,postgrad,about_monthly,False,2,5,manual,4,2,3,2,0,0,False,44,11.0,11,True,19,45,-26.0,False,c8! g2 b6 b8!,1,False,0,,,,,,,,
