condition,batch,population,pid,round,puzzle,ai,transfer,form,variant,consented_at,pretask_at,prompt_rule,prompt_mean_score,prompt_passed,carryover,reached_demographics,effort_median,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
intervention_johnny,intervention_johnny,non-adopters,p106,R1,oc20260727,True,False,johnny_connect_four_boost,,2026-08-20T01:11:09.662698+00:00,2026-08-20T01:14:41.686330+00:00,mean,2.667,True,False,True,,2,40.0,hs_graduate,less_than_monthly,False,1,5,manual,5,4,3,2,1,1,True,20,4.0,345,True,31,33,-2.0,False,b7 g2! c8 a7 b6,1,False,0,,,,,,,,
intervention_johnny,intervention_johnny,non-adopters,p144,R1,oc20260727,True,False,johnny_connect_four_boost,,2026-08-20T01:01:57.114585+00:00,2026-08-20T01:07:53.377735+00:00,mean,2.667,True,False,True,,1,31.0,some_college,daily,True,1,5,manual,6,6,3,3,6,3,True,0,0.0,240,True,41,23,18.0,True,b7 c8 a7 a3 a1 h1,1,True,0,,,,,,,,
intervention_johnny,intervention_johnny,non-adopters,p186,R1,oc20260727,True,False,johnny_connect_four_boost,,2026-08-20T01:38:43.409811+00:00,2026-08-20T01:40:29.226686+00:00,mean,2.667,True,False,True,,dont_know,25.0,bachelors,never,False,1,5,manual,3,2,3,2,2,2,True,38,12.7,10,True,22,42,-20.0,False,b7 c8 b6!,1,False,0,,,,,,,,
intervention_johnny,intervention_johnny,non-adopters,p34,R1,oc20260727,True,False,johnny_connect_four_boost,,2026-08-20T20:28:35.186433+00:00,2026-08-20T20:32:13.531523+00:00,mean,2.333,True,False,True,,dont_know,32.0,hs_incomplete,never,False,1,5,manual,4,2,3,2,3,3,True,36,9.0,111,True,23,41,-18.0,False,b7 a7! b6 g2!,1,False,0,,,,,,,,
intervention_johnny,intervention_johnny,non-adopters,p386,R1,oc20260727,True,False,johnny_connect_four_boost,,2026-08-20T01:32:29.175917+00:00,2026-08-20T01:40:08.212138+00:00,mean,3.0,True,False,True,,dont_know,25.0,hs_graduate,daily,True,1,5,manual,5,4,3,3,3,3,True,22,4.4,403,True,30,34,-4.0,False,b7 c8 a7 a1! h1,1,False,0,,,,,,,,
intervention_johnny,intervention_johnny,non-adopters,p387,R1,oc20260727,True,False,johnny_connect_four_boost,,2026-08-20T20:27:45.762498+00:00,2026-08-20T20:33:12.242674+00:00,mean,1.0,True,False,True,,3,57.0,associate,about_monthly,False,3,5,manual,4,1,3,1,0,0,False,56,14.0,149,True,13,51,-38.0,False,g2! c8! a8 b6!,1,False,0,,,,,,,,
intervention_johnny,intervention_johnny,non-adopters,p458,R1,oc20260727,True,False,johnny_connect_four_boost,,2026-08-20T20:27:11.685095+00:00,2026-08-20T20:30:10.141699+00:00,mean,2.333,True,False,True,,2,33.0,bachelors,about_monthly,True,2,5,manual,3,2,3,2,1,1,True,38,12.7,209,True,22,42,-20.0,False,b7 b6! b8,1,False,0,,,,,,,,
intervention_johnny,intervention_johnny,non-adopters,p468,R1,oc20260727,True,False,johnny_connect_four_boost,,2026-08-20T01:05:55.053018+00:00,2026-08-20T01:07:46.213471+00:00,mean,1.667,True,False,True,,dont_know,26.0,hs_graduate,never,True,1,5,manual,3,2,3,2,2,2,True,38,12.7,28,True,22,42,-20.0,False,b7 c8 b6!,1,False,0,,,,,,,,
intervention_johnny,intervention_johnny,non-adopters,p47,R1,oc20260727,True,False,johnny_connect_four_boost,,2026-08-20T01:07:38.635047+00:00,2026-08-20T01:10:30.458372+00:00,mean,2.667,True,False,True,,1,33.0,postgrad,daily,False,2,5,manual,3,2,3,2,2,2,True,38,12.7,55,True,22,42,-20.0,False,b7 c8 b6!,1,False,0,,,,,,,,
intervention_johnny,intervention_johnny,non-adopters,p471,R1,oc20260727,True,False,johnny_connect_four_boost,,2026-08-20T01:54:29.783568+00:00,2026-08-20T01:58:54.136939+00:00,mean,1.333,True,False,True,,1,70.0,some_college,several_times_day,False,5,6,manual,4,2,3,2,0,0,False,40,10.0,156,True,21,43,-22.0,False,g2! b6 b7 a8!,1,False,0,,,,,,,,
intervention_johnny,intervention_johnny,non-adopters,p474,R1,oc20260727,True,False,johnny_connect_four_boost,,2026-08-20T01:27:55.162867+00:00,2026-08-20T01:31:16.334679+00:00,mean,3.0,True,False,True,,1,29.0,some_college,weekly,False,1,5,manual,6,6,3,3,6,3,True,0,0.0,183,True,41,23,18.0,True,b7 c8 a7 a3 a1 h1,1,True,0,,,,,,,,
intervention_johnny,intervention_johnny,non-adopters,p475,R1,oc20260727,True,False,johnny_connect_four_boost,,2026-08-20T21:20:57.939041+00:00,2026-08-20T21:24:12.083802+00:00,mean,1.333,True,False,True,,3,58.0,bachelors,never,False,3,6,manual,6,6,3,3,6,3,True,0,0.0,125,True,41,23,18.0,True,b7 c8 a7 a3 a1 h1,1,True,0,,,,,,,,
intervention_johnny,intervention_johnny,non-adopters,p508,R1,oc20260727,True,False,johnny_connect_four_boost,,2026-08-20T01:02:13.894973+00:00,2026-08-20T01:03:48.898926+00:00,mean,3.0,True,False,True,,dont_know,56.0,some_college,few_times_month,False,1,7,manual,6,6,3,3,6,3,True,0,0.0,111,True,41,23,18.0,True,b7 c8 a7 a3 a1 h1,1,True,0,,,,,,,,
