condition,batch,population,pid,round,puzzle,ai,transfer,form,variant,consented_at,pretask_at,prompt_rule,prompt_mean_score,prompt_passed,carryover,reached_demographics,effort_median,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
intervention_modelled_ta,intervention_modelled_ta,non-adopters,p146,R1,oc20260727,True,False,modelled_think_aloud,,2026-08-20T02:44:04.573782+00:00,2026-08-20T02:47:54.277414+00:00,mean,2.667,True,False,True,,1,22.0,hs_graduate,less_than_monthly,False,1,8,timeout,6,6,3,3,6,3,True,0,0.0,282,True,41,23,18.0,True,b7 c8 a7 a3 a1 h1,1,True,0,,,,,,,,
intervention_modelled_ta,intervention_modelled_ta,non-adopters,p181,R1,oc20260727,True,False,modelled_think_aloud,,2026-08-20T02:17:29.895497+00:00,2026-08-20T02:21:40.731764+00:00,mean,3.0,True,False,True,,3,27.0,bachelors,several_times_day,True,3,6,manual,6,6,3,3,6,3,True,0,0.0,304,True,41,23,18.0,True,b7 c8 a7 a3 a1 h1,1,True,0,,,,,,,,
intervention_modelled_ta,intervention_modelled_ta,non-adopters,p220,R1,oc20260727,True,False,modelled_think_aloud,,2026-08-20T02:28:24.219184+00:00,2026-08-20T02:32:33.138430+00:00,mean,2.667,True,False,True,,dont_know,21.0,hs_graduate,few_times_week,False,1,6,manual,3,1,3,1,1,1,True,42,14.0,277,True,20,44,-24.0,False,b7 b6! c8!,1,False,0,,,,,,,,
intervention_modelled_ta,intervention_modelled_ta,non-adopters,p232,R1,oc20260727,True,False,modelled_think_aloud,,2026-08-20T02:41:07.857819+00:00,2026-08-20T02:45:25.801001+00:00,mean,3.0,True,False,True,,3,52.0,bachelors,few_times_week,False,2,6,manual,5,4,3,3,3,3,True,22,4.4,218,True,30,34,-4.0,False,b7 c8 a7 a1! h1,1,False,0,,,,,,,,
intervention_modelled_ta,intervention_modelled_ta,non-adopters,p256,R1,oc20260727,True,False,modelled_think_aloud,,2026-08-20T02:17:36.472248+00:00,2026-08-20T02:21:50.289961+00:00,mean,1.667,True,False,True,,dont_know,66.0,some_college,few_times_week,False,1,7,timeout,5,5,3,3,5,3,True,0,0.0,252,False,28,34,,,b7 c8 a7 a3 a1,1,False,0,,,,,,,,
intervention_modelled_ta,intervention_modelled_ta,non-adopters,p278,R1,oc20260727,True,False,modelled_think_aloud,,2026-08-20T02:53:40.985737+00:00,2026-08-20T02:59:49.431024+00:00,mean,3.0,True,False,True,,3,29.0,bachelors,few_times_week,False,3,5,manual,3,1,3,1,0,0,False,36,12.0,55,True,23,41,-18.0,False,g2! b7 c8!,1,False,0,,,,,,,,
intervention_modelled_ta,intervention_modelled_ta,non-adopters,p382,R1,oc20260727,True,False,modelled_think_aloud,,2026-08-20T02:26:19.463899+00:00,2026-08-20T02:30:55.771643+00:00,mean,1.0,True,False,True,,3,42.0,associate,weekly,False,2,5,manual,5,3,3,2,0,0,False,40,8.0,8,True,21,43,-22.0,False,g2! b6 b7 c8 a7!,1,False,0,,,,,,,,
intervention_modelled_ta,intervention_modelled_ta,non-adopters,p409,R1,oc20260727,True,False,modelled_think_aloud,,2026-08-20T02:17:31.526071+00:00,2026-08-20T02:20:35.743223+00:00,mean,2.333,True,False,True,,2,31.0,some_college,less_than_monthly,False,4,5,manual,2,0,2,0,0,0,False,54,27.0,7,True,14,50,-36.0,False,a7! c8!,1,False,0,,,,,,,,
intervention_modelled_ta,intervention_modelled_ta,non-adopters,p557,R1,oc20260727,True,False,modelled_think_aloud,,2026-08-20T02:50:09.421603+00:00,2026-08-20T02:53:59.314074+00:00,mean,2.333,True,False,True,,1,24.0,bachelors,few_times_week,False,1,5,manual,5,4,3,3,5,3,True,16,3.2,93,True,33,31,2.0,True,b7 c8 a7 a3 g2!,1,False,0,,,,,,,,
intervention_modelled_ta,intervention_modelled_ta,non-adopters,p570,R1,oc20260727,True,False,modelled_think_aloud,,2026-08-20T02:44:56.679659+00:00,2026-08-20T02:47:23.221224+00:00,mean,2.0,True,False,True,,1,18.0,some_college,several_times_day,False,1,5,manual,3,1,3,1,0,0,False,42,14.0,11,True,20,44,-24.0,False,c8! b6! a8,1,False,0,,,,,,,,
intervention_modelled_ta,intervention_modelled_ta,non-adopters,p6,R1,oc20260727,True,False,modelled_think_aloud,,2026-08-20T02:17:08.690739+00:00,2026-08-20T02:19:03.596664+00:00,mean,1.333,True,False,True,,dont_know,25.0,some_college,few_times_month,False,2,5,manual,4,2,3,1,0,0,False,40,10.0,63,True,21,43,-22.0,False,b6! b7! b8 a7,1,False,0,,,,,,,,
