condition,batch,population,pid,round,puzzle,ai,transfer,form,variant,consented_at,pretask_at,prompt_rule,prompt_mean_score,prompt_passed,carryover,reached_demographics,effort_median,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
intervention_v9,intervention_v9,non-adopters,p154,R1,oc20260727,True,False,,v9_two_rows,2026-08-19T11:41:53.932940+00:00,2026-08-19T11:49:15.988334+00:00,mean,1.0,True,False,True,4.0,dont_know,67.0,bachelors,less_than_monthly,False,2,5,manual,3,1,3,1,0,0,False,36,12.0,142,True,23,41,-18.0,False,g2! b7 c8!,1,False,2,2.0,5.0,0.4,0.0,0.0,1.0,38.0,Strugglers
intervention_v9,intervention_v9,non-adopters,p154,R2,b220260706,False,True,,v9_two_rows,2026-08-19T11:41:53.932940+00:00,2026-08-19T11:49:15.988334+00:00,mean,1.0,True,False,True,4.0,dont_know,67.0,bachelors,less_than_monthly,False,2,0,manual,2,1,2,1,0,0,False,16,8.0,6,True,30,34,-4.0,False,g2! g7,1,False,2,2.0,5.0,0.4,0.0,0.0,1.0,38.0,Strugglers
intervention_v9,intervention_v9,non-adopters,p154,R3,bg20260726,False,True,,v9_two_rows,2026-08-19T11:41:53.932940+00:00,2026-08-19T11:49:15.988334+00:00,mean,1.0,True,False,True,4.0,dont_know,67.0,bachelors,less_than_monthly,False,2,0,manual,3,1,3,1,1,1,True,22,7.3,21,True,23,41,-18.0,False,b2 g7! h8!,1,False,2,2.0,5.0,0.4,0.0,0.0,1.0,38.0,Strugglers
intervention_v9,intervention_v9,non-adopters,p196,R1,oc20260727,True,False,,v9_two_rows,2026-08-19T11:43:53.180555+00:00,2026-08-19T11:50:14.427777+00:00,mean,1.333,True,False,True,3.0,dont_know,70.0,some_college,few_times_month,False,1,5,manual,4,2,3,2,0,0,False,44,11.0,175,True,19,45,-26.0,False,b6! g2 b7 a8!,1,False,2,0.0,4.0,0.0,0.0,0.0,0.0,54.0,Strugglers
intervention_v9,intervention_v9,non-adopters,p196,R2,b220260706,False,True,,v9_two_rows,2026-08-19T11:43:53.180555+00:00,2026-08-19T11:50:14.427777+00:00,mean,1.333,True,False,True,3.0,dont_know,70.0,some_college,few_times_month,False,1,0,manual,2,0,2,0,0,0,False,30,15.0,4,True,23,41,-18.0,False,g1! g2!,1,False,2,0.0,4.0,0.0,0.0,0.0,0.0,54.0,Strugglers
intervention_v9,intervention_v9,non-adopters,p196,R3,bg20260726,False,True,,v9_two_rows,2026-08-19T11:43:53.180555+00:00,2026-08-19T11:50:14.427777+00:00,mean,1.333,True,False,True,3.0,dont_know,70.0,some_college,few_times_month,False,1,0,manual,2,0,2,0,0,0,False,24,12.0,5,True,22,42,-20.0,False,g7! g8!,1,False,2,0.0,4.0,0.0,0.0,0.0,0.0,54.0,Strugglers
intervention_v9,intervention_v9,non-adopters,p251,R1,oc20260727,True,False,,v9_two_rows,2026-08-19T19:08:13.220234+00:00,2026-08-19T19:14:59.857168+00:00,mean,2.333,True,False,True,3.0,1,25.0,some_college,less_than_monthly,False,1,3,timeout,4,2,3,2,2,2,True,76,19.0,298,True,22,42,-20.0,False,b7 c8 b6! b6!,1,False,2,2.0,5.0,0.4,0.0,0.0,1.0,38.0,Strugglers
intervention_v9,intervention_v9,non-adopters,p251,R2,b220260706,False,True,,v9_two_rows,2026-08-19T19:08:13.220234+00:00,2026-08-19T19:14:59.857168+00:00,mean,2.333,True,False,True,3.0,1,25.0,some_college,less_than_monthly,False,1,0,manual,2,0,2,0,0,0,False,24,12.0,11,True,26,38,-12.0,False,g2! h2!,1,False,2,2.0,5.0,0.4,0.0,0.0,1.0,38.0,Strugglers
intervention_v9,intervention_v9,non-adopters,p251,R3,bg20260726,False,True,,v9_two_rows,2026-08-19T19:08:13.220234+00:00,2026-08-19T19:14:59.857168+00:00,mean,2.333,True,False,True,3.0,1,25.0,some_college,less_than_monthly,False,1,0,manual,3,2,3,2,1,1,True,14,4.7,11,True,27,37,-10.0,False,b2 g7! h7,1,False,2,2.0,5.0,0.4,0.0,0.0,1.0,38.0,Strugglers
intervention_v9,intervention_v9,non-adopters,p272,R1,oc20260727,True,False,,v9_two_rows,2026-08-19T11:01:07.848787+00:00,2026-08-19T11:03:55.290454+00:00,mean,1.0,True,False,True,3.0,dont_know,33.0,some_college,weekly,False,1,5,manual,3,2,3,2,1,1,True,38,12.7,51,True,22,42,-20.0,False,b7 b6! b8,1,False,2,4.0,6.0,0.667,1.0,1.0,2.0,22.0,Solvers
intervention_v9,intervention_v9,non-adopters,p272,R2,b220260706,False,True,,v9_two_rows,2026-08-19T11:01:07.848787+00:00,2026-08-19T11:03:55.290454+00:00,mean,1.0,True,False,True,3.0,dont_know,33.0,some_college,weekly,False,1,0,manual,3,3,3,3,3,3,True,0,0.0,12,True,38,26,12.0,True,g7 h1 g2,1,True,2,4.0,6.0,0.667,1.0,1.0,2.0,22.0,Solvers
intervention_v9,intervention_v9,non-adopters,p272,R3,bg20260726,False,True,,v9_two_rows,2026-08-19T11:01:07.848787+00:00,2026-08-19T11:03:55.290454+00:00,mean,1.0,True,False,True,3.0,dont_know,33.0,some_college,weekly,False,1,0,manual,3,1,3,1,1,1,True,22,7.3,6,True,23,41,-18.0,False,b2 g7! h8!,1,False,2,4.0,6.0,0.667,1.0,1.0,2.0,22.0,Solvers
intervention_v9,intervention_v9,non-adopters,p302,R1,oc20260727,True,False,,v9_two_rows,2026-08-19T16:15:08.692541+00:00,2026-08-19T16:19:37.559564+00:00,mean,2.667,True,False,True,3.0,1,46.0,bachelors,less_than_monthly,True,2,6,manual,6,6,3,3,6,3,True,0,0.0,309,True,41,23,18.0,True,b7 c8 a7 a3 a1 h1,1,True,2,2.0,5.0,0.4,0.0,0.0,1.0,28.0,Strugglers
intervention_v9,intervention_v9,non-adopters,p302,R2,b220260706,False,True,,v9_two_rows,2026-08-19T16:15:08.692541+00:00,2026-08-19T16:19:37.559564+00:00,mean,2.667,True,False,True,3.0,1,46.0,bachelors,less_than_monthly,True,2,0,manual,3,2,3,2,2,2,True,14,4.7,9,True,31,33,-2.0,False,g7 h1 h2!,1,False,2,2.0,5.0,0.4,0.0,0.0,1.0,28.0,Strugglers
