condition,batch,population,pid,round,puzzle,ai,transfer,form,variant,consented_at,pretask_at,prompt_rule,prompt_mean_score,prompt_passed,carryover,reached_demographics,effort_median,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
vanilla_adopters,vanilla_adopters,adopters,p123,R1,oc20260727,True,False,,,2026-08-05T12:54:13.606894+00:00,,,3.0,True,False,True,,1,26.0,hs_graduate,less_than_monthly,False,1,5,manual,4,1,3,0,0,0,False,42,10.5,30,True,20,44,-24.0,False,b6! b7! c8! a7,1,False,2,3.0,5.0,0.6,0.0,0.0,1.0,26.0,Solvers
vanilla_adopters,vanilla_adopters,adopters,p123,R2,b220260706,False,True,,,2026-08-05T12:54:13.606894+00:00,,,3.0,True,False,True,,1,26.0,hs_graduate,less_than_monthly,False,1,0,manual,2,1,2,1,0,0,False,16,8.0,5,True,30,34,-4.0,False,g2! g7,1,False,2,3.0,5.0,0.6,0.0,0.0,1.0,26.0,Solvers
vanilla_adopters,vanilla_adopters,adopters,p123,R3,bg20260726,False,True,,,2026-08-05T12:54:13.606894+00:00,,,3.0,True,False,True,,1,26.0,hs_graduate,less_than_monthly,False,1,0,manual,3,2,3,2,1,1,True,10,3.3,11,True,29,35,-6.0,False,b2 h7! g8,1,False,2,3.0,5.0,0.6,0.0,0.0,1.0,26.0,Solvers
vanilla_adopters,vanilla_adopters,adopters,p127,R1,oc20260727,True,False,,,2026-08-05T14:32:54.261246+00:00,,,2.667,True,False,True,,1,27.0,hs_graduate,about_monthly,True,2,5,manual,4,3,3,2,2,2,True,24,6.0,87,True,29,35,-6.0,False,b7 c8 g2! a7,1,False,2,3.0,5.0,0.6,0.0,0.0,1.0,30.0,Solvers
vanilla_adopters,vanilla_adopters,adopters,p127,R2,b220260706,False,True,,,2026-08-05T14:32:54.261246+00:00,,,2.667,True,False,True,,1,27.0,hs_graduate,about_monthly,True,2,0,manual,2,1,2,1,0,0,False,16,8.0,6,True,30,34,-4.0,False,g2! g7,1,False,2,3.0,5.0,0.6,0.0,0.0,1.0,30.0,Solvers
vanilla_adopters,vanilla_adopters,adopters,p127,R3,bg20260726,False,True,,,2026-08-05T14:32:54.261246+00:00,,,2.667,True,False,True,,1,27.0,hs_graduate,about_monthly,True,2,0,manual,3,2,3,2,1,1,True,14,4.7,13,True,27,37,-10.0,False,b2 g7! h7,1,False,2,3.0,5.0,0.6,0.0,0.0,1.0,30.0,Solvers
vanilla_adopters,vanilla_adopters,adopters,p131,R1,oc20260727,True,False,,,2026-08-05T17:08:34.931683+00:00,,,2.667,True,False,True,,2,40.0,postgrad,several_times_day,False,4,5,manual,3,1,3,1,0,0,False,42,14.0,20,True,20,44,-24.0,False,c8! a7 b6!,1,False,2,2.0,5.0,0.4,0.0,0.0,1.0,38.0,Strugglers
vanilla_adopters,vanilla_adopters,adopters,p131,R2,b220260706,False,True,,,2026-08-05T17:08:34.931683+00:00,,,2.667,True,False,True,,2,40.0,postgrad,several_times_day,False,4,0,manual,2,1,2,1,0,0,False,16,8.0,9,True,30,34,-4.0,False,g2! g7,1,False,2,2.0,5.0,0.4,0.0,0.0,1.0,38.0,Strugglers
vanilla_adopters,vanilla_adopters,adopters,p131,R3,bg20260726,False,True,,,2026-08-05T17:08:34.931683+00:00,,,2.667,True,False,True,,2,40.0,postgrad,several_times_day,False,4,0,manual,3,1,3,1,1,1,True,22,7.3,25,True,23,41,-18.0,False,b2 g7! h8!,1,False,2,2.0,5.0,0.4,0.0,0.0,1.0,38.0,Strugglers
vanilla_adopters,vanilla_adopters,adopters,p137,R1,oc20260727,True,False,,,2026-08-07T12:46:49.378149+00:00,,,3.0,True,False,True,,3,63.0,bachelors,daily,False,1,7,manual,5,4,3,2,5,3,True,2,0.4,308,True,40,24,16.0,True,b7 a7! a1 h1 b6,1,False,2,3.0,5.0,0.6,1.0,1.0,1.0,24.0,Solvers
vanilla_adopters,vanilla_adopters,adopters,p137,R2,b220260706,False,True,,,2026-08-07T12:46:49.378149+00:00,,,3.0,True,False,True,,3,63.0,bachelors,daily,False,1,0,manual,2,0,2,0,0,0,False,24,12.0,11,True,26,38,-12.0,False,g2! h2!,1,False,2,3.0,5.0,0.6,1.0,1.0,1.0,24.0,Solvers
vanilla_adopters,vanilla_adopters,adopters,p137,R3,bg20260726,False,True,,,2026-08-07T12:46:49.378149+00:00,,,3.0,True,False,True,,3,63.0,bachelors,daily,False,1,0,manual,3,3,3,3,3,3,True,0,0.0,31,True,34,30,4.0,True,b2 g8 h7,1,True,2,3.0,5.0,0.6,1.0,1.0,1.0,24.0,Solvers
