condition,batch,population,pid,round,puzzle,ai,transfer,form,variant,consented_at,pretask_at,prompt_rule,prompt_mean_score,prompt_passed,carryover,reached_demographics,effort_median,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p102,R1,oc20260727,True,False,,,,,carried over from phase 1,,True,True,False,,4,,,,True,3,5,manual,4,1,3,1,1,1,True,40,10.0,153,True,21,43,-22.0,False,b7 g2! b6! c8!,1,False,2,1.0,4.0,0.25,0.0,0.0,0.0,38.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p102,R2,b220260706,False,True,,,,,carried over from phase 1,,True,True,False,,4,,,,True,3,0,manual,2,0,2,0,0,0,False,30,15.0,11,True,23,41,-18.0,False,g1! g2!,1,False,2,1.0,4.0,0.25,0.0,0.0,0.0,38.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p102,R3,bg20260726,False,True,,,,,carried over from phase 1,,True,True,False,,4,,,,True,3,0,manual,2,1,2,1,0,0,False,8,4.0,8,True,30,34,-4.0,False,g8! g7,1,False,2,1.0,4.0,0.25,0.0,0.0,0.0,38.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p103,R1,oc20260727,True,False,,,2026-08-18T19:20:02.118958+00:00,,mean,1.667,True,False,True,,1,30.0,hs_graduate,few_times_month,False,1,5,manual,5,3,3,2,0,0,False,40,8.0,69,True,21,43,-22.0,False,g2! b6 b7 c8 a7!,1,False,2,2.0,5.0,0.4,0.0,0.0,1.0,38.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p103,R2,b220260706,False,True,,,2026-08-18T19:20:02.118958+00:00,,mean,1.667,True,False,True,,1,30.0,hs_graduate,few_times_month,False,1,0,manual,2,1,2,1,0,0,False,16,8.0,21,True,30,34,-4.0,False,g2! g7,1,False,2,2.0,5.0,0.4,0.0,0.0,1.0,38.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p103,R3,bg20260726,False,True,,,2026-08-18T19:20:02.118958+00:00,,mean,1.667,True,False,True,,1,30.0,hs_graduate,few_times_month,False,1,0,manual,3,1,3,1,1,1,True,22,7.3,16,True,23,41,-18.0,False,b2 g7! h8!,1,False,2,2.0,5.0,0.4,0.0,0.0,1.0,38.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p112,R1,oc20260727,True,False,,,2026-08-18T16:28:23.497756+00:00,,mean,2.667,True,False,True,,1,32.0,bachelors,daily,True,1,5,manual,5,4,3,3,5,3,True,16,3.2,266,True,33,31,2.0,True,b7 c8 a7 a3 g2!,1,False,2,1.0,4.0,0.25,0.0,0.0,0.0,36.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p112,R2,b220260706,False,True,,,2026-08-18T16:28:23.497756+00:00,,mean,2.667,True,False,True,,1,32.0,bachelors,daily,True,1,0,manual,2,1,2,1,0,0,False,14,7.0,4,True,31,33,-2.0,False,g1! g7,1,False,2,1.0,4.0,0.25,0.0,0.0,0.0,36.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p112,R3,bg20260726,False,True,,,2026-08-18T16:28:23.497756+00:00,,mean,2.667,True,False,True,,1,32.0,bachelors,daily,True,1,0,manual,2,0,2,0,0,0,False,22,11.0,2,True,23,41,-18.0,False,g7! h7!,1,False,2,1.0,4.0,0.25,0.0,0.0,0.0,36.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p115,R1,oc20260727,True,False,,,,,mean,3.0,False,False,False,,1,,,,True,2,5,manual,6,6,3,3,6,3,True,0,0.0,155,True,41,23,18.0,True,b7 c8 a7 a3 a1 h1,1,True,2,2.0,5.0,0.4,0.0,0.0,0.0,40.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p115,R2,b220260706,False,True,,,,,mean,3.0,False,False,False,,1,,,,True,2,0,manual,2,0,2,0,0,0,False,24,12.0,8,True,26,38,-12.0,False,g2! h2!,1,False,2,2.0,5.0,0.4,0.0,0.0,0.0,40.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p115,R3,bg20260726,False,True,,,,,mean,3.0,False,False,False,,1,,,,True,2,0,manual,3,2,3,2,0,0,False,16,5.3,21,True,26,38,-12.0,False,h7! b2 g8,1,False,2,2.0,5.0,0.4,0.0,0.0,0.0,40.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p140,R1,oc20260727,True,False,,,2026-08-19T11:10:39.475568+00:00,,mean,2.667,True,False,True,,1,23.0,postgrad,about_monthly,False,3,5,manual,4,2,3,2,0,0,False,40,10.0,67,True,21,43,-22.0,False,g2! b6 b7 a7!,1,False,2,6.0,6.0,1.0,2.0,2.0,2.0,0.0,Solvers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p140,R2,b220260706,False,True,,,2026-08-19T11:10:39.475568+00:00,,mean,2.667,True,False,True,,1,23.0,postgrad,about_monthly,False,3,0,manual,3,3,3,3,3,3,True,0,0.0,10,True,38,26,12.0,True,g7 h1 g2,1,True,2,6.0,6.0,1.0,2.0,2.0,2.0,0.0,Solvers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p140,R3,bg20260726,False,True,,,2026-08-19T11:10:39.475568+00:00,,mean,2.667,True,False,True,,1,23.0,postgrad,about_monthly,False,3,0,manual,3,3,3,3,3,3,True,0,0.0,5,True,34,30,4.0,True,b2 g8 h7,1,True,2,6.0,6.0,1.0,2.0,2.0,2.0,0.0,Solvers
