# More BEGINNER puzzles from othelloclub.com/en/puzzle_bg.php (pages 2-5 of
# 763). Same format as othelloclub_beginner_puzzles.txt, which holds page 1.
# Imported under the "b2" prefix. Malformed boards (a stray '8' in the
# source) and repeats were dropped on the way in.
#
# Format: DATE|TURN|BOARD   (TURN 1 = Black, 2 = White)
20260709|1|1221110012222200121122221111121211221112122221121211111122222222
20260708|2|1022220211222222121222221112222212122222122121222012111002222111
20260707|1|0111111120122222222122222221222222122122222222222111222221112200
20260706|2|2211120021111100211211112221211122211111211121112111210111111111
20260704|2|0011110101111110211211222121112121111221211221221111111222222221
20260703|1|0022221220111112021121121122121211222212111122221212122211111111
20260702|2|2222221211211112212211122112112222211222222111220012221001111101
20260701|1|2222222212221111112122112112211122112111222111110021111100222222
20260630|2|0102222010112202111111221112121212211122122212221111122211111112
20260629|1|1111111112222212222121222212112222212122222212220022222200222222
20260628|2|1111122211112222112122121111222211212222112112220222210200222210
20260627|1|2222222012122220212122212222222122211211222121210222222101111111
20260626|2|2201111121112211211221112121122122212221212111112112110011111100
20260625|1|2022221222222122222212222222222222222222222222222222220221222200
20260624|2|0001222100111221111121211121122112111121121211111122211112222222
20260623|1|0222222200221122222211222221212222121222222111222221111220211111
20260622|2|0111111100122221111122211122122111221121121122211011111110111121
20260621|1|1222222012211110121221111121211111221211122211111222211110022222
20260620|2|0000111101111111211112112121121121121121212221211111121122222221
20260619|1|0021112100211221222122212222111121222111212212112211111122222222
20260617|1|0222221212222222112112221211112212122122122222121222222200011112
20260616|2|1211111011111101111111211111112111211211112122110222220021111111
20260615|1|0211111022211100221222222221222222111222221121222211121222222221
20260613|1|2222220011111200121222221121222212112112111121121222111112222222
20260612|2|1111111211111122112112121212221211212122112212220012222100022222
20260611|1|2122222022221200222121202212122221222121222112112212222121111111
20260610|2|0222222221111112211112122121212221111212211121112111121000222220
20260609|1|1011110210111202121112221122122211212212121212221222222211111112
20260608|2|2222222211212112111212121111211211111112111121201122110011111100
20260607|1|1211110112222101122121211122121112112121122212211222222100222222
20260606|2|0111112101121111211221112111121121121211222111102022111022222111
20260605|1|2222222211111220111121021112222222112122221212122222210211111110
20260604|2|0222221202222112122111121222221222222211221112112222210011111110
20260603|1|0111110202222222222112222212221222222212222212222022222211111112
20260602|2|0011111100112221111212211121221111122121112212110122212111111111
20260601|1|2111111102111202122121122222221222122122222212121021112202222222
20260531|2|1222222012222220122122211212121112212221121212110111111100222212
20260530|1|2222220012111202112212221112222211122222112222221111112022222222
20260529|2|2222222211121112212121122112121221222222221121122012120201111020
20260528|1|2222222022111201212222112122212122112221222122210022222111111111
20260527|2|0111111101112221211221212121222121211211211221112111121022222200
20260526|1|2220120022222202221222222121221221222212211212122111111221111112
20260525|2|0011110100111111111111211121112111121122111221222122222111111121
20260524|1|0112011200222111222212111222121122222111221222112221211122222222
20260523|2|2222222211122221211122212111122121121121111111110002211100111111
20260522|1|2222222012111201112121111112112111212211111112111211122011111102
20260521|2|2111110111122211112121112212112122212121121121110222110101111120
20260520|1|0022222212212122122212121222211212211122122222221222222211222002
20260519|2|0211111100111221111222210122212111111211212121112211111122201111
20260518|1|0222222210212111012112122211221222122212222111122221112202222222
20260517|2|1221111112211111111222110121221111122111011221110111111102222202
20260516|1|2222222211121221111122121111112211211122122222221222220012222200
20260515|2|1111111121112101111111211111122111111121111111210011111101111101
20260514|1|2222222102211111021111112211112122112221221221212222222100111121
20260513|2|1111111121111200221121111222122212221112111121220111121200111111
20260512|1|2222222021222222212121222212121221212112221212222121120012222220
20260511|2|0111111111111222111222221121222212122212122211111222110011111100
20260510|1|2222222222122211221111112121111122121121222121220012122001111121
20260509|2|1111111211111121112112111112211101221211222221110211111021222200
20260508|1|0011111112222222112222221112222211212222121212212021222101111111
20260507|2|0010111200111111111212111111222211111212121211222221121211111111
20260506|1|1211110012222221121222211222212112222221121112210211222101111111
20260505|2|0111110210112222111112221211212212121222111112121111111200222222
20260504|1|0022220202222222222112122222111222211112221122122112212222222222
20260503|2|0112220001111101222111112221111122111211211112111111111112222222
20260502|1|2222222122111111212221212122112121211121211122212112202101111100
20260501|2|0111111100112211111111111122121112122121121222211222222122111100
20260430|1|1222222212222111111212112121212122121222212122202212220021122220
20260429|2|0011111111111101112121110212212122122221212122212111122122222220
20260428|1|2222222211111100221112222221222122221221222121220222122201111111
20260427|2|1111110021111110221111122121121222121112222211121021111102222222
20260426|1|1222222212222121121222111221211212111122121221201221220012222220
20260425|2|2222222222122111222211112222212122211111221111112000112100111111
20260424|1|2222222211111102112212221122222211122222221222222211220222222200
20260423|2|1211111212211102121211121212212012111211121121102212220011111111
20260422|1|0111111102222211221211212221212122111221211211211111111222222200
20260421|2|1112222022222221121112111211212012112220111211210021222211111111
20260420|1|2111220021112222212212122221121222112212221222222121122212222200
