# Othello endgame puzzles from othelloclub.com/en/puzzle_bg.php — the BEGINNER
# level archive (763 puzzles total; these are the 20 most recent as of
# 2026-07-30). Same task and same format as the expert set in
# othelloclub_puzzles.txt: "win from here", 64 chars of 0/1/2 by row from the
# top, plus the side to move.
#
# NOTE the dates collide with the expert archive (both publish daily), so these
# import under the "bg" prefix while the expert set uses "oc".
#
# Format: DATE|TURN|BOARD   (TURN 1 = Black, 2 = White)
20260729|1|2211111122211211222211212222222222212122221112002122222011111110
20260728|2|1111111010122121121112211221212112121221112111211011222100111121
20260727|1|1111111122112200221221112122111122211111221121112222120111111120
20260726|2|2111111120112222211121212112121121212111211211112111210011111100
20260725|1|0022222212222221122112211212212111222121121212212021112111111101
20260724|2|2222222102112211011111211112112121212211211221212112110101111110
20260723|1|0222222120211112221211222221122222112222221112220221112202222222
20260722|2|1111112112222211122111111112121112112111121111111111110010111100
20260721|1|0012222122222121222112212122112122122222212111220022222211111111
20260720|2|1111110012211100122221111212211112211111121111111122211011111111
20260719|1|2222200022122220212122222112211221222112212111222212222221111111
20260718|2|0012210100122111111212111111111111112211111211111121111112222221
20260717|1|2222222211111121111212111211211112121211222221110211121020222201
20260716|2|0022221110111111111112111111221111211211021121212011122122222221
20260715|1|0111111101122222221121222221122222221122222121220222222201111111
20260714|2|0111110011111100112121111112122111212121111112111122212111111112
20260713|1|1211111112212210122211111122121112222212122212111221212002011112
20260712|2|1111110001121100111121111111221111211211121111112222221211111111
20260711|1|0022221222222112222211122122111222211112221212222222210212111110
20260710|2|1111111201122112011111121121212211121122111122221001111110111121
