# More Othello endgame puzzles from othelloclub.com/en/puzzle_ep.php (EXPERT
# archive, pages 2-5 of 763). Same format as othelloclub_puzzles.txt, which
# holds page 1; these are kept separate so the study's two puzzles stay in the
# file they were chosen from. Imported under the "ep" prefix.
#
# Cleaned on the way in: one board carried an invalid character and was dropped,
# repeated positions (the archive re-publishes some) were de-duplicated against
# each other and against page 1, and the slash date format was normalized.
#
# Format: DATE|TURN|BOARD   (TURN 1 = Black, 2 = White)
20260709|1|0222220000222200122222222221221222122122212212222222222021121100
20260708|2|0011110000111112111211121112211212122212112221221222220202222220
20260707|1|0222210000111122221111122211111222212112222211120022210200222222
20260706|2|0111110010112100111221221121212211212122211121222112120011222220
20260705|1|0111110010121111112121111222121112111111121112110222220100122020
20260704|2|0011210011122101111122111111212111111221112112211011122101110220
20260703|1|0111111200211120222112112212221021221111222111112221220100222200
20260702|2|0222220000212211011222111111212111211221111221210111111100211221
20260701|1|0022222200221111222121112221121221212122222211120022221000222220
20260630|2|0011100120111222211212212112222121212221221112212012212001111110
20260629|1|0022200020222020222112222222212221222122222222220021112122222222
20260628|2|0020010010021122111121221111121212111122111111121122211011111111
20260627|1|0022220200221002111122121111112211221222112122221112220221222200
20260626|2|0111110001121100211222112111121121121211222111102022111022222111
20260625|1|0011111000221220022111122221122222221222112121120122112200221122
20260624|2|0022222000211100111111110121111111111111211221210121122211111111
20260623|1|2222222211111120222212222211222222122122222212201011120000110200
20260622|2|0022220101112211211222110121222111211221122112112212210011111100
20260621|1|0022222020211200222122122221212122211212222121222012220022222220
20260620|2|1211110012211101121221111211211112111211011121110011110101111110
20260619|1|0022221210222122122212121221212212121222122122200222220002222200
20260617|1|0111110202222220222112112212211122222122222212222021220002222200
20260616|2|0011112120111221222121212222112122212121221212210122220100222200
20260615|1|0111110022222221011112111021212100221121222221110222121102222220
20260614|2|1022222001221201221121112211111122211111121112110112222022220020
20260613|1|0011111022222101222112112122112121112211222121112021120000222220
20260612|2|2222222122211111221111212111111100111111002111110011111100011121
20260611|1|2221120022211200221121222212222211111122112222221211200022112000
20260610|2|1111111021221100111122121111222211211222111211220111110000111110
20260609|1|0222220220111121221222112122221121121111222222210002210100111110
20260608|2|0011112100112221221222212221112111111221001111210011211101111111
20260607|1|0111200201122220211222212111212221112222221112212021120002222220
20260606|2|0111111100112221011221211121222112111211112221111022121002222200
20260605|1|1222222022211200221122202111121121112211112122100022110002222222
20260603|1|0022220000212200111222222111112222122212222111120222211220222212
20260602|2|0111111010112200111111111211111011121112112121220011121201111111
20260601|1|0222222100211222011211220112112211211212022211120022111200222222
20260531|2|0222211102221112121111111211211012211111112111101012210001111110
20260530|1|0120120000221202222222222221221222222212221211222111220221111200
20260528|1|0002222110212221011211212222122122121121222222110012110101111110
20260527|2|0222220000211112222221121111111211212212121111221111210210102110
20260526|1|0122222100221111222121212222122122212121221211200111112000111100
20260525|2|0011111020111202222121222221221221222122211122222111220200222220
20260524|1|0222222000211210211221121112111211211112211222120110222102222002
20260523|2|0111110010121000122121111212211111122121121211111211110111111110
20260522|1|0222222020222202222112222121212220122122021222220022212200222222
20260521|2|0102011020122102221112222221212222121112212211121221111022222200
20260520|1|2120020022222202222212021221222211122222112222101122110122222200
20260519|2|0022222022222200222222102122111121222212211122120111111011111110
20260518|1|0011112111111111212221210221222102211221022112110012210101111110
20260517|2|0201111021211110211221122121121121211212211121120112111001111100
20260516|1|2112222122211221222221212121112122221221222222210002110100001100
20260515|2|1021111001111110111121221111122220112222021222221122220210222220
20260514|1|2000221012222101112212211211221112112121122211021222110011111100
20260512|1|0011110002222100222112110212212122122211111112111111222022222012
20260511|2|1111111001122101112222211121112122122221221122110011120100111110
20260510|1|0000200022222102222111222212221222122222222221221211120222222220
20260509|2|0220111120211210221221212221112122111221221222210022211000121111
20260508|1|0222220020212200222222222122222221222120211112112222222021111200
20260507|2|2002222011112200211222112211211122121211022212110222221011111110
20260506|1|0111110000221100022212222222122221222122222222122022211102222222
20260504|1|2112220022112202222112202122111121222111212222111122220122200000
20260503|2|0000110102111110111111221112222211121221112221221012222201111111
20260502|1|0011112212111221122121211222112212221122121112221211120002010000
20260501|2|1111111112222222121111111111121111111110212211110012210000111100
20260430|1|0001220020222200222221222122211121212211211122112111111100222222
20260429|2|2222222012121200112221001222110112222121121221111211110111111100
20260428|1|2222222222122122212112222222122022222221021122110022220100111000
20260427|2|0001102020111220222222112122211121121111212121112011120121111111
20260426|1|0111111022221101222221112222211121111211211122202112220001111000
20260425|2|0111111100122211112112111121121111211211111211111021110101111000
20260423|2|0011111000122221211122211211222111121121111111110122211100111110
20260421|2|0011220011111200012111112211211122121121222111212222222200111111
20260419|2|0000111100111222221121122212111222111112221121122011111200111111
20260417|2|0111110021112100211122222121112221221222211111220111111201222200
