pid,round,puzzle,ai,transfer,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
p507,R1,oc20260727,True,False,dont_know,32,hs_graduate,weekly,False,1,0,manual,4,0,3,0,0,0,False,46,11.5,12,True,18,46,-28,False,b6! b7! g2! c8!,1,False,2,3,5,0.6,0,0,1,22,Solvers
p507,R2,b220260706,False,True,dont_know,32,hs_graduate,weekly,False,1,0,manual,3,2,3,2,2,2,True,14,4.7,8,True,31,33,-2,False,g7 h1 h2!,1,False,2,3,5,0.6,0,0,1,22,Solvers
p507,R3,bg20260726,False,True,dont_know,32,hs_graduate,weekly,False,1,0,manual,2,1,2,1,0,0,False,8,4.0,3,True,30,34,-4,False,g8! g7,1,False,2,3,5,0.6,0,0,1,22,Solvers
p275,R1,oc20260727,True,False,1,37,some_college,few_times_month,True,2,0,manual,5,4,3,2,5,3,True,2,0.4,39,True,40,24,16,True,b7 a7! a1 h1 b6,1,False,2,2,5,0.4,0,0,1,38,Strugglers
p275,R2,b220260706,False,True,1,37,some_college,few_times_month,True,2,0,manual,3,2,3,2,2,2,True,14,4.7,7,True,31,33,-2,False,g7 h1 h2!,1,False,2,2,5,0.4,0,0,1,38,Strugglers
p275,R3,bg20260726,False,True,1,37,some_college,few_times_month,True,2,0,manual,2,0,2,0,0,0,False,24,12.0,3,True,22,42,-20,False,g7! g8!,1,False,2,2,5,0.4,0,0,1,38,Strugglers
p390,R1,oc20260727,True,False,2,49,hs_graduate,few_times_month,False,4,0,manual,5,3,3,2,0,0,False,40,8.0,7,True,21,43,-22,False,g2! b6 b7 c8 a7!,1,False,2,1,5,0.2,0,0,1,40,Strugglers
p390,R2,b220260706,False,True,2,49,hs_graduate,few_times_month,False,4,0,manual,2,0,2,0,0,0,False,24,12.0,29,True,26,38,-12,False,g2! h2!,1,False,2,1,5,0.2,0,0,1,40,Strugglers
p390,R3,bg20260726,False,True,2,49,hs_graduate,few_times_month,False,4,0,manual,3,1,3,1,1,1,True,16,5.3,22,True,26,38,-12,False,b2 h7! g7!,1,False,2,1,5,0.2,0,0,1,40,Strugglers
p200,R1,oc20260727,True,False,1,34,postgrad,about_monthly,False,3,0,manual,3,0,3,0,0,0,False,40,13.3,12,True,21,43,-22,False,b6! c8! b8!,1,False,2,0,4,0.0,0,0,0,54,Strugglers
