pid,round,puzzle,ai,transfer,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
p786,R1,oc20260727,True,False,1,34,postgrad,daily,True,3,0,manual,5,2,3,1,1,1,True,34,6.8,102,True,24,40,-16,False,b7 g2! a7! b6 a1!,1,False,2,0,4,0.0,0,0,0,44,Strugglers
p786,R2,b220260706,False,True,1,34,postgrad,daily,True,3,0,manual,2,0,2,0,0,0,False,30,15.0,14,True,23,41,-18,False,g1! g2!,1,False,2,0,4,0.0,0,0,0,44,Strugglers
p786,R3,bg20260726,False,True,1,34,postgrad,daily,True,3,0,manual,2,0,2,0,0,0,False,14,7.0,6,True,27,37,-10,False,g8! h7!,1,False,2,0,4,0.0,0,0,0,44,Strugglers
p639,R1,oc20260727,True,False,2,51,postgrad,several_times_day,False,2,0,manual,4,2,3,2,0,0,False,40,10.0,13,True,21,43,-22,False,g2! b7 b6 a7!,1,False,2,3,5,0.6,0,0,1,24,Solvers
p639,R2,b220260706,False,True,2,51,postgrad,several_times_day,False,2,0,manual,2,1,2,1,0,0,False,14,7.0,4,True,31,33,-2,False,g1! g7,1,False,2,3,5,0.6,0,0,1,24,Solvers
p639,R3,bg20260726,False,True,2,51,postgrad,several_times_day,False,2,0,manual,3,2,3,2,1,1,True,10,3.3,8,True,29,35,-6,False,b2 h7! g8,1,False,2,3,5,0.6,0,0,1,24,Solvers
p289,R1,oc20260727,True,False,dont_know,36,bachelors,daily,False,3,0,manual,3,0,3,0,0,0,False,44,14.7,37,True,19,45,-26,False,g2! c8! a7!,1,False,2,2,5,0.4,0,0,1,38,Strugglers
p289,R2,b220260706,False,True,dont_know,36,bachelors,daily,False,3,0,manual,2,0,2,0,0,0,False,24,12.0,4,True,26,38,-12,False,g2! h2!,1,False,2,2,5,0.4,0,0,1,38,Strugglers
p289,R3,bg20260726,False,True,dont_know,36,bachelors,daily,False,3,0,manual,3,2,3,2,1,1,True,14,4.7,16,True,27,37,-10,False,b2 g7! h7,1,False,2,2,5,0.4,0,0,1,38,Strugglers
p158,R1,oc20260727,True,False,1,49,bachelors,few_times_week,False,2,0,manual,3,0,3,0,0,0,False,54,18.0,20,True,14,50,-36,False,a7! b8! c8!,1,False,2,2,5,0.4,0,0,1,28,Strugglers
