Timestamp,Prolific ID?,The AI assistant's responses were consistent with the intentions of my questions.,The AI assistant was easy to use.,Any additional feedback you would like to share about the AI assistant?,outcome_group
7/14/2026 11:55:33,p93,Agree,Strongly agree,"IN MY OPINION THE ASSISTANT WAS HELPFULOVERALL BUT COULD BE EASIER AND MORE OBJECTIVE CONCERNING THE PLAYING INSTRUCTIONS, SOME OF THE REASONING WAS NOT NECESSARY",
7/14/2026 12:18:52,p461,Neutral,Agree,,bad
7/14/2026 13:33:59,p775,Neutral,Agree,"None
",good
7/14/2026 13:42:57,p236,Strongly agree,Strongly agree,I was happy with the information given.,win
7/14/2026 14:04:40,p297,Agree,Strongly agree,Helpful ,
7/14/2026 14:14:02,p482,Strongly agree,Strongly agree,,bad
7/14/2026 15:03:56,p581,Disagree,Neutral,I couldn't see a way to win (especially after my first move was made) The AI assistant didn't ever seem useful so I didn't really pay attention to it.,bad
7/14/2026 16:23:26,p773,Strongly agree,Strongly agree,,bad
7/14/2026 16:46:36,p574,Disagree,Disagree,sucked,win
7/14/2026 16:52:17,p654,Agree,Strongly agree,I did feel under time pressure. But the AI assistant DID help me decide.,bad
7/14/2026 16:54:39,p444,Agree,Strongly agree,,win
7/14/2026 17:01:09,p389,Agree,Strongly agree,,bad
7/14/2026 17:07:46,p213,Strongly agree,Strongly agree,The assistant seemed to provide coherent answers,bad
7/14/2026 17:29:35,p540,Strongly agree,Strongly agree,It could give more detailed answers about the possible future moves of the connect four opponent.,bad
7/14/2026 17:41:37,p841,Strongly agree,Strongly agree,no i thought it worked well and was responsive and knowledgeable,good
7/14/2026 18:07:30,p60,Strongly agree,Strongly agree,I should have listened to its advice. I lost because I decided to do something different.,win
7/14/2026 18:08:15,p310,Strongly agree,Strongly agree,,good
7/15/2026 10:58:22,p203,Agree,Strongly agree,,
7/15/2026 11:18:16,p514,Strongly agree,Strongly agree,I thought it worked well as a springboard to bounce ideas off of where to place a tile. It got me thinking about strategy even though I didn't necessarily always agree with its strategic assessment.,
7/15/2026 11:23:09,p618,Agree,Neutral,"Given the time constraints, it would be better if the AI assistant provided a quicker response. The timer may make participants feel rushed and interacting with the AI will increase frustration because of its slow responses.",
7/15/2026 11:24:26,p490,Agree,Agree,"Nothing special to add. The AI assistant was helpful in the beginning, but after a few questions, it started not being completely accurate.",
7/15/2026 11:55:34,p223,Strongly agree,Strongly agree,na,
7/16/2026 7:42:05,p439,Strongly agree,Strongly agree,,bad
7/16/2026 7:45:24,p400,Strongly agree,Strongly agree,,bad
7/16/2026 7:47:06,p163,Strongly agree,Strongly agree,,good
7/16/2026 7:49:57,p844,Agree,Agree,,bad
7/16/2026 7:52:07,p789,Agree,Strongly agree,,win
7/16/2026 7:54:09,p489,Strongly agree,Strongly agree,I think it was pretty good and gave me answers that seemed to make sense. ,good
7/16/2026 8:00:47,p274,Agree,Agree,It was too wordy but did help me see what I needed to do.,good
7/16/2026 8:07:34,p571,Agree,Neutral,I should giver clearer outputs with more directly suggested moves.,bad
7/16/2026 8:09:37,p559,Strongly agree,Strongly agree,,win
7/16/2026 8:18:46,p340,Agree,Strongly agree,,bad
7/16/2026 8:21:40,p652,Strongly agree,Strongly agree,It understood my prompts even when I started to ramble. Responses were sound and logical.,bad
7/16/2026 8:41:03,p292,Strongly agree,Strongly agree,,bad
7/16/2026 8:53:46,p166,Strongly agree,Strongly agree,,win
7/16/2026 9:16:10,p449,Strongly agree,Agree,It would have been helpful if the AI assistant started our conversation with some suggestions for the kind of questions I could ask it.,bad
7/16/2026 10:46:26,p847,Strongly agree,Agree,No other feedback,win
7/16/2026 10:53:31,p699,Strongly agree,Agree,"Looking back, I wish I had given myself the chance to experience the assistant more, but to the extent I did use it, it was pleasant and useful for sure!",win
7/16/2026 10:58:37,p218,Neutral,Disagree,The assistant often gave responses that were too general and did not directly address the specific board position or question I asked.,bad
7/16/2026 11:01:28,p244,Strongly agree,Agree,,win
7/16/2026 11:09:27,p352,Agree,Agree,I didn't win the game but it still helped me with the question I asked.,win
7/16/2026 11:16:36,p265,Strongly agree,Strongly agree,,good
