pid,round,puzzle,ai,transfer,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
p547,R1,oc20260727,True,False,dont_know,43,bachelors,daily,False,2,7,manual,5,4,3,3,3,3,True,22,4.4,204,True,30,34,-4,False,b7 c8 a7 a1! h1,1,False,2,1,4,0.25,0,0,1,34,Strugglers
p547,R2,b220260706,False,True,dont_know,43,bachelors,daily,False,2,0,manual,2,1,2,1,1,1,True,12,6.0,6,True,32,32,0,False,g7 g2!,1,False,2,1,4,0.25,0,0,1,34,Strugglers
p547,R3,bg20260726,False,True,dont_know,43,bachelors,daily,False,2,0,manual,2,0,2,0,0,0,False,22,11.0,4,True,23,41,-18,False,g7! h7!,1,False,2,1,4,0.25,0,0,1,34,Strugglers
p109,R1,oc20260727,True,False,1,46,bachelors,daily,False,1,9,manual,6,6,3,3,6,3,True,0,0.0,78,True,41,23,18,True,b7 c8 a7 a3 a1 h1,1,True,2,1,5,0.2,0,0,1,46,Strugglers
p109,R2,b220260706,False,True,1,46,bachelors,daily,False,1,0,manual,2,0,2,0,0,0,False,24,12.0,4,True,26,38,-12,False,g2! h2!,1,False,2,1,5,0.2,0,0,1,46,Strugglers
p109,R3,bg20260726,False,True,1,46,bachelors,daily,False,1,0,manual,3,1,3,1,1,1,True,22,7.3,13,True,23,41,-18,False,b2 g7! h8!,1,False,2,1,5,0.2,0,0,1,46,Strugglers
p108,R1,oc20260727,True,False,3,50,some_postgrad,never,True,2,5,manual,5,4,3,3,3,3,True,22,4.4,392,True,30,34,-4,False,b7 c8 a7 a1! h1,1,False,2,4,5,0.8,1,1,1,8,Solvers
p108,R2,b220260706,False,True,3,50,some_postgrad,never,True,2,0,manual,3,3,3,3,3,3,True,0,0.0,10,True,38,26,12,True,g7 h1 g2,1,True,2,4,5,0.8,1,1,1,8,Solvers
p108,R3,bg20260726,False,True,3,50,some_postgrad,never,True,2,0,manual,2,1,2,1,0,0,False,8,4.0,9,True,30,34,-4,False,g8! g7,1,False,2,4,5,0.8,1,1,1,8,Solvers
p165,R1,oc20260727,True,False,1,37,postgrad,never,True,3,5,manual,5,3,3,2,1,1,True,36,7.2,223,True,23,41,-18,False,b7 g2! c8 a7 a1!,1,False,2,1,4,0.25,0,0,0,32,Strugglers
p165,R2,b220260706,False,True,1,37,postgrad,never,True,3,0,manual,2,0,2,0,0,0,False,24,12.0,10,True,26,38,-12,False,g2! h2!,1,False,2,1,4,0.25,0,0,0,32,Strugglers
p165,R3,bg20260726,False,True,1,37,postgrad,never,True,3,0,manual,2,1,2,1,0,0,False,8,4.0,11,True,30,34,-4,False,g8! g7,1,False,2,1,4,0.25,0,0,0,32,Strugglers
p369,R1,oc20260727,True,False,dont_know,40,bachelors,never,False,1,5,manual,3,0,3,0,0,0,False,44,14.7,69,True,19,45,-26,False,c8! b6! b8!,1,False,2,2,5,0.4,0,0,1,38,Strugglers
p369,R2,b220260706,False,True,dont_know,40,bachelors,never,False,1,0,manual,2,1,2,1,0,0,False,16,8.0,3,True,30,34,-4,False,g2! g7,1,False,2,2,5,0.4,0,0,1,38,Strugglers
p369,R3,bg20260726,False,True,dont_know,40,bachelors,never,False,1,0,manual,3,1,3,1,1,1,True,22,7.3,6,True,23,41,-18,False,b2 g7! h8!,1,False,2,2,5,0.4,0,0,1,38,Strugglers
p485,R1,oc20260727,True,False,dont_know,76,bachelors,weekly,False,1,7,timeout,5,5,3,3,5,3,True,0,0.0,306,False,28,34,,,b7 c8 a7 a3 a1,1,False,2,0,4,0.0,0,0,0,50,Strugglers
p485,R2,b220260706,False,True,dont_know,76,bachelors,weekly,False,1,0,manual,2,0,2,0,0,0,False,24,12.0,8,True,26,38,-12,False,g2! h2!,1,False,2,0,4,0.0,0,0,0,50,Strugglers
p485,R3,bg20260726,False,True,dont_know,76,bachelors,weekly,False,1,0,manual,2,0,2,0,0,0,False,26,13.0,12,True,21,43,-22,False,h7! g7!,1,False,2,0,4,0.0,0,0,0,50,Strugglers
p599,R1,oc20260727,True,False,dont_know,40,hs_incomplete,weekly,False,2,5,manual,3,2,3,2,1,1,True,38,12.7,48,True,22,42,-20,False,b7 b6! b8,1,False,2,2,4,0.5,0,0,0,24,Strugglers
p599,R2,b220260706,False,True,dont_know,40,hs_incomplete,weekly,False,2,0,manual,2,1,2,1,0,0,False,16,8.0,8,True,30,34,-4,False,g2! g7,1,False,2,2,4,0.5,0,0,0,24,Strugglers
p599,R3,bg20260726,False,True,dont_know,40,hs_incomplete,weekly,False,2,0,manual,2,1,2,1,0,0,False,8,4.0,8,True,30,34,-4,False,g8! g7,1,False,2,2,4,0.5,0,0,0,24,Strugglers
p342,R1,oc20260727,True,False,dont_know,39,bachelors,about_monthly,False,1,5,manual,5,4,3,3,5,3,True,16,3.2,168,True,33,31,2,True,b7 c8 a7 a3 g2!,1,False,2,0,4,0.0,0,0,0,54,Strugglers
