pid,round,puzzle,ai,transfer,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
p458,R1,oc20260727,True,False,2,33,bachelors,about_monthly,True,2,5,manual,3,2,3,2,1,1,True,38,12.7,209,True,22,42,-20,False,b7 b6! b8,1,False,0,,,,,,,,
p88,R1,oc20260727,True,False,dont_know,65,some_college,weekly,False,3,5,manual,6,6,3,3,6,3,True,0,0.0,240,True,41,23,18,True,b7 c8 a7 a3 a1 h1,1,True,0,,,,,,,,
p106,R1,oc20260727,True,False,2,40,hs_graduate,less_than_monthly,False,1,5,manual,5,4,3,2,1,1,True,20,4.0,345,True,31,33,-2,False,b7 g2! c8 a7 b6,1,False,0,,,,,,,,
p475,R1,oc20260727,True,False,3,58,bachelors,never,False,3,6,manual,6,6,3,3,6,3,True,0,0.0,125,True,41,23,18,True,b7 c8 a7 a3 a1 h1,1,True,0,,,,,,,,
p508,R1,oc20260727,True,False,dont_know,56,some_college,few_times_month,False,1,7,manual,6,6,3,3,6,3,True,0,0.0,111,True,41,23,18,True,b7 c8 a7 a3 a1 h1,1,True,0,,,,,,,,
p387,R1,oc20260727,True,False,3,57,associate,about_monthly,False,3,5,manual,4,1,3,1,0,0,False,56,14.0,149,True,13,51,-38,False,g2! c8! a8 b6!,1,False,0,,,,,,,,
p34,R1,oc20260727,True,False,dont_know,32,hs_incomplete,never,False,1,5,manual,4,2,3,2,3,3,True,36,9.0,111,True,23,41,-18,False,b7 a7! b6 g2!,1,False,0,,,,,,,,
p47,R1,oc20260727,True,False,1,33,postgrad,daily,False,2,5,manual,3,2,3,2,2,2,True,38,12.7,55,True,22,42,-20,False,b7 c8 b6!,1,False,0,,,,,,,,
p144,R1,oc20260727,True,False,1,31,some_college,daily,True,1,5,manual,6,6,3,3,6,3,True,0,0.0,240,True,41,23,18,True,b7 c8 a7 a3 a1 h1,1,True,0,,,,,,,,
p522,R1,oc20260727,True,False,2,45,bachelors,daily,True,2,6,manual,5,4,3,3,3,3,True,22,4.4,247,True,30,34,-4,False,b7 c8 a7 a1! h1,1,False,0,,,,,,,,
p561,R1,oc20260727,True,False,2,25,bachelors,daily,False,2,7,manual,6,6,3,3,6,3,True,0,0.0,199,True,41,23,18,True,b7 c8 a7 a3 a1 h1,1,True,0,,,,,,,,
p471,R1,oc20260727,True,False,1,70,some_college,several_times_day,False,5,6,manual,4,2,3,2,0,0,False,40,10.0,156,True,21,43,-22,False,g2! b6 b7 a8!,1,False,0,,,,,,,,
p386,R1,oc20260727,True,False,dont_know,25,hs_graduate,daily,True,1,5,manual,5,4,3,3,3,3,True,22,4.4,403,True,30,34,-4,False,b7 c8 a7 a1! h1,1,False,0,,,,,,,,
p643,R1,oc20260727,True,False,2,26,bachelors,less_than_monthly,False,1,5,manual,6,6,3,3,6,3,True,0,0.0,146,True,41,23,18,True,b7 c8 a7 a3 a1 h1,1,True,0,,,,,,,,
p690,R1,oc20260727,True,False,dont_know,21,hs_graduate,daily,False,1,5,manual,4,2,3,2,1,1,True,36,9.0,17,True,23,41,-18,False,b7 g2! c8 b6!,1,False,0,,,,,,,,
p765,R1,oc20260727,True,False,1,30,associate,never,False,1,5,manual,4,3,3,3,3,3,True,36,9.0,214,True,23,41,-18,False,b7 c8 a7 g2!,1,False,0,,,,,,,,
p186,R1,oc20260727,True,False,dont_know,25,bachelors,never,False,1,5,manual,3,2,3,2,2,2,True,38,12.7,10,True,22,42,-20,False,b7 c8 b6!,1,False,0,,,,,,,,
p82,R1,oc20260727,True,False,dont_know,,,,True,4,0,,1,1,1,1,1,1,True,0,0.0,0,False,24,32,,,b7,1,False,0,,,,,,,,
p468,R1,oc20260727,True,False,dont_know,26,hs_graduate,never,True,1,5,manual,3,2,3,2,2,2,True,38,12.7,28,True,22,42,-20,False,b7 c8 b6!,1,False,0,,,,,,,,
p474,R1,oc20260727,True,False,1,29,some_college,weekly,False,1,5,manual,6,6,3,3,6,3,True,0,0.0,183,True,41,23,18,True,b7 c8 a7 a3 a1 h1,1,True,0,,,,,,,,
p606,R1,oc20260727,True,False,3,31,some_college,few_times_month,False,3,5,manual,3,2,3,2,2,2,True,38,12.7,14,True,22,42,-20,False,b7 c8 b6!,1,False,0,,,,,,,,
p814,R1,oc20260727,True,False,dont_know,44,postgrad,several_times_day,False,1,2,timeout,4,0,3,0,0,0,False,54,13.5,16,True,14,50,-36,False,g2! c8! b6! b8!,1,False,0,,,,,,,,
