participant,old_med,old_pass,old_llama,old_gpt,old_nemotron,old_qwen,new_med,new_pass,new_llama,new_gpt,new_nemotron,new_qwen,decision_changed,time_taken
p542,3.0,True,3,3,,,3,True,3,3,3,,False,2.798
p201,3.0,True,3,3,,,3,True,3,3,2,,False,4.604
p310,3.0,True,3,3,,,3,True,3,3,3,,False,2.364
p847,3.0,True,3,3,,,3,True,3,3,2,,False,2.724
p773,3.0,True,3,3,,,3,True,3,3,3,,False,12.112
p104,2.0,False,2,2,,,2,False,2,3,2,,False,2.914
p59,2.0,False,2,2,,,2,False,2,3,1,,False,3.793
p648,3.0,True,3,3,,,3,True,3,3,3,,False,7.395
p26,2.5,False,2,3,,,2,False,2,3,2,,False,2.342
p439,3.0,True,3,3,,,3,True,3,3,3,,False,2.507
p821,2.5,False,2,3,,,2,False,2,2,2,,False,2.442
p113,2.5,False,2,3,,,3,True,3,3,2,,True,11.096
p487,1.0,False,1,1,,,1,False,1,1,1,,False,1.624
p532,2.0,False,2,2,,,2,False,2,2,1,,False,18.468
p571,3.0,True,3,3,,,3,True,3,3,2,,False,2.965
p246,3.0,True,3,3,,,3,True,3,4,3,,False,18.036
p803,3.0,True,3,3,,,3,True,3,3,2,,False,3.01
p274,3.0,True,3,3,,,3,True,3,3,2,,False,3.332
p363,3.0,True,3,3,,,3,True,3,3,3,,False,1.869
p293,3.0,True,3,3,,,3,True,3,3,2,,False,14.747
p449,3.0,True,3,3,,,3,True,3,3,2,,False,21.466
p548,3.0,True,3,3,,,3,True,3,3,3,,False,2.008
p630,4.0,True,4,4,,,4,True,4,4,4,,False,2.223
p739,4.0,True,4,4,,,4,True,4,4,4,,False,22.399
p142,3.0,True,3,3,,,3,True,3,3,2,,False,13.616
p149,3.0,True,3,3,,,3,True,3,3,2,,False,3.499
p192,2.0,False,2,2,,,2,False,2,2,2,,False,3.221
p187,3.0,True,3,3,,,3,True,3,3,2,,False,4.771
p163,4.0,True,4,4,,,4,True,4,3,4,,False,6.335
p279,3.0,True,3,3,,,3,True,3,3,2,,False,3.345
p213,3.0,True,3,3,,,3,True,3,3,3,,False,3.381
p297,3.0,True,3,3,,,3,True,3,3,2,,False,8.863
p559,3.0,True,3,3,,,3,True,3,3,2,,False,3.18
p654,3.0,True,3,3,,,3,True,3,3,3,,False,3.275
p659,3.0,True,3,3,,,3,True,3,3,3,,False,2.257
p581,3.0,True,3,3,,,3,True,3,3,2,,False,2.451
p699,4.0,True,4,4,,,4,True,4,4,3,,False,2.84
p461,3.0,True,3,3,,,3,True,3,3,3,,False,3.78
p680,2.5,False,2,3,,,2,False,2,3,1,,False,5.837
p400,3.0,True,3,3,,,3,True,3,3,2,,False,3.967
p166,3.0,True,3,3,,,3,True,3,3,2,,False,2.725
p244,4.0,True,4,4,,,4,True,4,4,3,,False,5.869
p437,2.0,False,2,2,,,2,False,2,2,1,,False,2.469
p119,3.0,True,3,3,,,3,True,3,3,3,,False,21.339
p389,3.0,True,3,3,,,3,True,3,3,3,,False,2.917
p540,3.0,True,3,3,,,3,True,3,3,3,,False,2.379
p44,2.5,False,2,3,,,3,True,3,3,2,,True,2.462
p378,3.0,True,3,3,,,3,True,3,3,2,,False,12.46
p385,3.0,True,3,3,,,3,True,3,3,3,,False,3.057
p352,3.0,True,3,3,,,3,True,3,3,3,,False,17.584
p122,2.0,False,2,2,,,2,False,2,2,2,,False,9.189
p709,2.0,False,2,2,,,2,False,2,2,1,,False,13.504
p732,3.0,True,3,3,,,3,True,3,3,3,,False,2.018
p478,3.0,True,3,3,,,3,True,3,3,3,,False,2.685
p748,3.0,True,3,3,,,3,True,3,3,2,,False,1.96
p796,3.0,True,3,3,,,3,True,3,3,3,,False,5.466
p809,3.0,True,3,3,,,3,True,3,3,3,,False,9.121
p738,3.5,True,3,4,,,3,True,3,3,3,,False,3.662
p482,3.0,True,3,3,,,3,True,3,3,2,,False,5.491
p420,3.0,True,3,3,,,3,True,3,3,3,,False,2.412
p844,3.0,True,3,3,,,3,True,3,3,2,,False,3.324
p792,2.5,False,2,3,,,2,False,2,3,2,,False,2.426
p489,3.0,True,3,3,,,3,True,3,3,3,,False,4.294
p457,3.0,True,3,3,,,3,True,3,3,3,,False,2.478
p340,3.0,True,3,3,,,3,True,3,3,2,,False,18.545
p292,3.0,True,3,3,,,3,True,3,3,3,,False,1.9
p124,3.0,True,3,3,,,3,True,3,3,3,,False,1.679
p789,3.0,True,3,3,,,3,True,3,3,3,,False,2.009
p51,3.0,True,3,3,,,3,True,3,3,2,,False,2.574
p652,3.0,True,3,3,,,3,True,3,3,3,,False,2.576
p829,3.0,True,3,3,,,3,True,3,3,2,,False,5.1
p841,3.0,True,3,3,,,3,True,3,3,3,,False,1.961
