pid,human_eval,panel_mean,panel_round,nemotron,llama,gpt
p440,2,2.333,2,2,3,2
p716,1,1.333,1,1,1,2
p10,3,2.667,3,3,2,3
p372,4,3.667,4,4,4,3
69fdb2e890eaf73d4598b3ac,3,2.333,2,2,3,2
p495,3,3.0,3,3,3,3
6352c60b4a9850783773f265,2,2.333,2,2,2,3
p799,1,2.0,2,2,2,2
p94,1,1.0,1,1,1,1
650c3f3a36d72f87324d708f,3,2.667,3,2,3,3
p207,1,1.333,1,1,1,2
p615,2,2.0,2,2,2,2
p202,1,1.667,2,2,1,2
p418,1,1.0,1,1,1,1
69aefc6e77792c959360cea0,2,2.667,3,2,3,3
p590,2,2.667,3,2,3,3
p57,3,2.667,3,2,3,3
p450,3,2.667,3,3,2,3
5f6817d32dac2317c0453f2a,3,3.0,3,3,3,3
p228,2,2.0,2,2,2,2
p221,4,3.0,3,3,3,3
p204,4,2.333,2,2,2,3
600efc0ddfc7b602e6313c41,3,3.667,4,4,3,4
p546,4,3.333,3,4,3,3
totally-a-prolific-id,4,3.333,3,4,3,3
p544,3,3.0,3,3,3,3
6a1dc58408d3be4d2951e460,2,2.667,3,3,2,3
p806,3,2.0,2,2,2,2
p38,4,3.0,3,3,3,3
5f99ba5121189e05a9490a72,3,3.0,3,3,3,3
6a03ea5ada74938006e2b196,1,1.667,2,1,2,2
p175,2,2.333,2,2,2,3
p524,2,1.667,2,2,1,2
69e0212824dc0df748db59e6,4,4.0,4,4,4,4
