pid,utt,utt_type,utt_ind,needs_review
p542,"I am thinking row 3, column 2. This would give me three in a row, as well as blocking the opponents diagonal streak. Thoughts?",Think Aloud,0,False
p542,"I am thinking row 3, column 2. This would give me three in a row, as well as blocking the opponents diagonal streak. Thoughts?",Common Ground Question,0,False
p542,Do you recommend a different move?,Solution Request,1,False
p542,"Oh I've just seen I NEED to go column 4, or they will have a diagonal four.",Think Aloud,2,False
p542,"Column 3? This blocks their diagonal move, gives me three diagonal, and also gives me two horizontally",Think Aloud,3,False
p542,"Column 3? This blocks their diagonal move, gives me three diagonal, and also gives me two horizontally",Common Ground Question,3,False
p542,"If I go there, they can block my existing diagonal three, so I will avoid that.",Think Aloud,4,False
p542,Column 5?,Common Ground Question,5,False
p201,I was thinking of putting one in 3-3,Think Aloud,0,False
p201,it would prevent yellow and open up one opportuhity for me,Think Aloud,1,False
p201,what is the best next move,Solution Request,2,False
p226,What is the best move to play here?,Solution Request,0,False
p226,What's the forced win?,Solution Request,1,False
p226,How about now?,Solution Request,2,False
p310,What threats do you see. I am about to move into column 3. will this work,Knowledge Deficit Question,0,False
p310,What threats do you see. I am about to move into column 3. will this work,Common Ground Question,0,False
p310,what would you suggest,Solution Request,1,False
p310,so just block up column 4 here. what's best to win with 2 moves left,Think Aloud,2,False
p310,so just block up column 4 here. what's best to win with 2 moves left,Solution Request,2,False
p310,ok what next,Conversational Acknowledgment,3,False
p310,ok what next,Solution Request,3,False
p310,any risks to column 5,Common Ground Question,4,False
p847,was my last move good?,Common Ground Question,0,False
p773,are there any threats on the board?,Knowledge Deficit Question,0,False
p773,what is the best next 3 moves,Solution Request,1,False
p773,are there any threats?,Knowledge Deficit Question,2,False
p773,what is my next best move?,Solution Request,3,False
p664,i am considering dropping in the second column what do you think,Think Aloud,0,False
p664,i am considering dropping in the second column what do you think,Common Ground Question,0,False
p62,I cannot see a way to gte 4 red coins in a row in only 2 more moves. i think i have lost already,Think Aloud,0,False
p62,I cannot see a way to gte 4 red coins in a row in only 2 more moves. i think i have lost already,Metacomment,0,False
p648,"Hi! If I put the first move into row 3, column 3, would that be best?",Conversational Acknowledgment,0,False
p648,"Hi! If I put the first move into row 3, column 3, would that be best?",Common Ground Question,0,False
p648,"Okay, done. I think I have to play in column 4 again.",Think Aloud,1,False
p648,"Okay, done. I think I have to play in column 4 again.",Conversational Acknowledgment,1,False
p648,"If I don't put it there, won't yellow just win by placing it there next round?",Think Aloud,2,False
p648,"If I don't put it there, won't yellow just win by placing it there next round?",Common Ground Question,2,False
p648,"Okay, what's the next best move?",Conversational Acknowledgment,3,False
p648,"Okay, what's the next best move?",Solution Request,3,False
p601,Is it better to play offensively or defensively right now on this board?,Solution Request,0,False
p601,So what do you think the best move would be right now?,Solution Request,1,False
p601,So right now I go column 3 again to prevent yellow connecting 4?,Think Aloud,2,False
p601,So right now I go column 3 again to prevent yellow connecting 4?,Common Ground Question,2,False
p601,Sorry I meant column 4. I will go there.,Think Aloud,3,False
p601,"This is my last move, what move do you think will be the best?",Solution Request,4,False
p830,Where are the threats?,Knowledge Deficit Question,0,False
p439,"Well, i need to drop it on 4/4 because they'll get four in a row otherwise, right?",Think Aloud,0,False
p439,"Well, i need to drop it on 4/4 because they'll get four in a row otherwise, right?",Common Ground Question,0,False
p439,"Oh, okay I see! What do you recommend after that?",Conversational Acknowledgment,1,False
p439,"Oh, okay I see! What do you recommend after that?",Solution Request,1,False
p571,I am considering column 2,Think Aloud,0,False
p571,"Key question: after you play column 2, can Yellow simply block column 2 on their turn? No.",Conversational Acknowledgment,1,False
p571,"Key question: after you play column 2, can Yellow simply block column 2 on their turn? No.",Common Ground Question,1,False
p571,Column 4,Think Aloud,2,False
p571,How about column 3 now,Common Ground Question,3,False
p571,"Oh right, i need to block that!",Think Aloud,4,False
p571,I was think column 3 now,Think Aloud,5,False
p571,What so i need to try to secure column 5 first?,Common Ground Question,6,False
p803,Is adding one to column two a good idea?,Common Ground Question,0,False
p274,is the one I just placed good?,Common Ground Question,0,False
p274,i blocked them but didn't win either.,Think Aloud,1,False
p363,I like 2 - thoughts?,Think Aloud,0,False
p363,I like 2 - thoughts?,Common Ground Question,0,False
p363,But wouldn't they have to block me or else I win? And then my next turn could be to do that,Think Aloud,1,False
