pid,Comprehension Gauging Question,Direct Instruction,Hint,Negative Feedback,Neutral Feedback,Paraphrase,Pose Simplified Problem,Positive Feedback,Prompt,Provide Correct Answer
p542,0.0,66.66666666666666,33.33333333333333,16.666666666666664,0.0,33.33333333333333,0.0,50.0,50.0,50.0
p201,0.0,66.66666666666666,66.66666666666666,0.0,0.0,66.66666666666666,0.0,33.33333333333333,33.33333333333333,33.33333333333333
p226,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666
p310,0.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,40.0,80.0
p847,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p773,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
p664,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0
p62,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p648,0.0,100.0,25.0,25.0,25.0,0.0,0.0,25.0,25.0,75.0
p601,0.0,100.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,60.0
p752,0.0,85.71428571428571,57.14285714285714,14.285714285714285,14.285714285714285,42.857142857142854,0.0,28.57142857142857,42.857142857142854,57.14285714285714
p830,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p439,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0
p424,0.0,100.0,100.0,0.0,33.33333333333333,0.0,0.0,33.33333333333333,33.33333333333333,33.33333333333333
p649,0.0,100.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,66.66666666666666
p476,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p571,0.0,100.0,14.285714285714285,0.0,0.0,14.285714285714285,0.0,0.0,71.42857142857143,14.285714285714285
p803,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
p274,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
p635,0.0,100.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,0.0,66.66666666666666,66.66666666666666
p363,0.0,100.0,100.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0
p293,0.0,100.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,33.33333333333333,66.66666666666666
p449,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
p548,0.0,66.66666666666666,33.33333333333333,0.0,0.0,33.33333333333333,0.0,66.66666666666666,66.66666666666666,0.0
p813,0.0,100.0,40.0,20.0,20.0,0.0,0.0,20.0,40.0,60.0
p267,0.0,100.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0
p142,0.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0
p149,0.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p791,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p168,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p163,0.0,100.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0
p806,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p279,0.0,100.0,33.33333333333333,0.0,33.33333333333333,33.33333333333333,0.0,0.0,33.33333333333333,33.33333333333333
p706,0.0,100.0,16.666666666666664,16.666666666666664,16.666666666666664,0.0,0.0,16.666666666666664,33.33333333333333,66.66666666666666
p538,0.0,100.0,100.0,0.0,20.0,0.0,0.0,40.0,80.0,0.0
p213,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p559,0.0,100.0,12.5,12.5,12.5,0.0,0.0,25.0,12.5,50.0
p654,0.0,100.0,25.0,25.0,50.0,25.0,0.0,0.0,50.0,50.0
p659,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0
p581,0.0,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333
p838,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
p699,0.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,50.0,50.0
p400,0.0,83.33333333333334,33.33333333333333,0.0,16.666666666666664,16.666666666666664,0.0,0.0,33.33333333333333,50.0
p266,0.0,100.0,60.0,40.0,0.0,20.0,20.0,0.0,60.0,40.0
p166,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p832,0.0,100.0,100.0,0.0,0.0,50.0,50.0,0.0,100.0,0.0
p244,0.0,100.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,60.0
p119,0.0,100.0,100.0,0.0,40.0,20.0,0.0,40.0,60.0,20.0
p389,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p540,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0
p281,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p828,0.0,100.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,66.66666666666666,33.33333333333333
p378,0.0,100.0,100.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0
p493,0.0,100.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0
p385,0.0,50.0,100.0,0.0,50.0,50.0,0.0,50.0,100.0,0.0
p352,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p127,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p732,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p748,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0
p796,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0
p809,0.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0
p738,0.0,100.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,66.66666666666666
p216,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p206,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p482,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p723,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0
p824,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p844,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p822,0.0,80.0,40.0,40.0,20.0,0.0,0.0,40.0,60.0,40.0
p312,0.0,75.0,50.0,0.0,0.0,25.0,0.0,25.0,100.0,25.0
p578,0.0,33.33333333333333,66.66666666666666,0.0,66.66666666666666,66.66666666666666,0.0,0.0,66.66666666666666,33.33333333333333
p489,0.0,100.0,25.0,0.0,25.0,0.0,0.0,25.0,12.5,37.5
p457,0.0,0.0,100.0,0.0,100.0,0.0,0.0,50.0,100.0,0.0
p340,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p292,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
p124,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0
p603,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
p644,0.0,80.0,40.0,0.0,0.0,0.0,0.0,20.0,40.0,60.0
p492,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p51,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p7,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
p652,0.0,80.0,40.0,0.0,20.0,20.0,0.0,20.0,40.0,60.0
p77,0.0,100.0,50.0,25.0,0.0,0.0,0.0,25.0,50.0,0.0
p423,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p829,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
p626,0.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,50.0
p513,0.0,100.0,25.0,0.0,25.0,25.0,0.0,0.0,25.0,75.0
p841,0.0,100.0,0.0,0.0,25.0,25.0,0.0,25.0,25.0,25.0
p737,0.0,100.0,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,100.0
p800,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p265,0.0,100.0,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0,0.0,100.0
p324,0.0,100.0,50.0,0.0,0.0,25.0,0.0,50.0,75.0,25.0
p211,0.0,100.0,0.0,0.0,50.0,100.0,0.0,0.0,50.0,50.0
p718,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
p117,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p465,20.0,100.0,20.0,20.0,0.0,0.0,0.0,0.0,40.0,60.0
p128,0.0,83.33333333333334,50.0,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,33.33333333333333
p13,0.0,100.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,75.0
p725,0.0,100.0,80.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0
p740,0.0,100.0,40.0,0.0,20.0,20.0,0.0,0.0,40.0,60.0
p95,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
p574,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
p598,0.0,50.0,50.0,0.0,50.0,50.0,50.0,100.0,50.0,0.0
p736,0.0,100.0,100.0,0.0,0.0,50.0,0.0,0.0,100.0,0.0
p817,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
p444,0.0,100.0,25.0,50.0,0.0,0.0,0.0,25.0,25.0,50.0
p785,0.0,100.0,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,33.33333333333333,66.66666666666666
p193,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p318,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0
