Timestamp,Prolific ID?,The AI assistant's responses were consistent with the intentions of my questions.,The AI assistant was easy to use.,Any additional feedback you would like to share about the AI assistant?
7/14/2026 11:55:33,p93,Agree,Strongly agree,"IN MY OPINION THE ASSISTANT WAS HELPFULOVERALL BUT COULD BE EASIER AND MORE OBJECTIVE CONCERNING THE PLAYING INSTRUCTIONS, SOME OF THE REASONING WAS NOT NECESSARY"
7/14/2026 12:18:52,p461,Neutral,Agree,
7/14/2026 13:33:59,p775,Neutral,Agree,"None
"
7/14/2026 13:42:57,p236,Strongly agree,Strongly agree,I was happy with the information given.
7/14/2026 14:04:40,p297,Agree,Strongly agree,Helpful 
7/14/2026 14:05:13,p297,Strongly agree,Strongly agree,
7/14/2026 14:14:02,p482,Strongly agree,Strongly agree,
7/14/2026 14:15:39,p482,Neutral,Neutral,I did not use the AI this time.
7/14/2026 15:03:56,p581,Disagree,Neutral,I couldn't see a way to win (especially after my first move was made) The AI assistant didn't ever seem useful so I didn't really pay attention to it.
7/14/2026 16:23:26,p773,Strongly agree,Strongly agree,
7/14/2026 16:46:36,p574,Disagree,Disagree,sucked
7/14/2026 16:52:17,p654,Agree,Strongly agree,I did feel under time pressure. But the AI assistant DID help me decide.
7/14/2026 16:54:39,p444,Agree,Strongly agree,
7/14/2026 17:01:09,p389,Agree,Strongly agree,
7/14/2026 17:07:46,p213,Strongly agree,Strongly agree,The assistant seemed to provide coherent answers
7/14/2026 17:29:35,p540,Strongly agree,Strongly agree,It could give more detailed answers about the possible future moves of the connect four opponent.
7/14/2026 17:41:37,p841,Strongly agree,Strongly agree,no i thought it worked well and was responsive and knowledgeable
7/14/2026 18:07:30,p60,Strongly agree,Strongly agree,I should have listened to its advice. I lost because I decided to do something different.
7/14/2026 18:08:15,p310,Strongly agree,Strongly agree,
7/14/2026 18:09:36,p60,Neutral,Neutral,"The game already had a four in a row for yellow before I even started, and when I mentioned this to the AI, it told me that wasn't the case. I went ahead and made a move that gave me four in a row, but somehow lost. I'm not sure if diagonal doesn't count in this game, but I thought it did. I think there may have been a glitch."
7/15/2026 10:58:22,p203,Agree,Strongly agree,
7/15/2026 11:18:16,p514,Strongly agree,Strongly agree,I thought it worked well as a springboard to bounce ideas off of where to place a tile. It got me thinking about strategy even though I didn't necessarily always agree with its strategic assessment.
7/15/2026 11:22:20,p514,Strongly agree,Strongly agree,My feedback would be the exact same as the first survey. It was a good springboard for bouncing ideas off of.
7/15/2026 11:23:09,p618,Agree,Neutral,"Given the time constraints, it would be better if the AI assistant provided a quicker response. The timer may make participants feel rushed and interacting with the AI will increase frustration because of its slow responses."
7/15/2026 11:24:26,p490,Agree,Agree,"Nothing special to add. The AI assistant was helpful in the beginning, but after a few questions, it started not being completely accurate."
7/15/2026 11:55:34,p223,Strongly agree,Strongly agree,na
7/16/2026 7:42:05,p439,Strongly agree,Strongly agree,
7/16/2026 7:45:24,p400,Strongly agree,Strongly agree,
7/16/2026 7:47:06,p163,Strongly agree,Strongly agree,
7/16/2026 7:49:57,p844,Agree,Agree,
7/16/2026 7:52:07,p789,Agree,Strongly agree,
7/16/2026 7:54:09,p489,Strongly agree,Strongly agree,I think it was pretty good and gave me answers that seemed to make sense. 
7/16/2026 8:00:47,p274,Agree,Agree,It was too wordy but did help me see what I needed to do.
7/16/2026 8:07:34,p571,Agree,Neutral,I should giver clearer outputs with more directly suggested moves.
7/16/2026 8:09:37,p559,Strongly agree,Strongly agree,
7/16/2026 8:18:46,p340,Agree,Strongly agree,
7/16/2026 8:21:40,p652,Strongly agree,Strongly agree,It understood my prompts even when I started to ramble. Responses were sound and logical.
7/16/2026 8:24:25,p652,Strongly agree,Strongly agree,AI was thorough in its explanation.
7/16/2026 8:41:03,p292,Strongly agree,Strongly agree,
7/16/2026 8:53:46,p166,Strongly agree,Strongly agree,
7/16/2026 9:16:10,p449,Strongly agree,Agree,It would have been helpful if the AI assistant started our conversation with some suggestions for the kind of questions I could ask it.
7/16/2026 10:46:26,p847,Strongly agree,Agree,No other feedback
7/16/2026 10:53:31,p699,Strongly agree,Agree,"Looking back, I wish I had given myself the chance to experience the assistant more, but to the extent I did use it, it was pleasant and useful for sure!"
7/16/2026 10:58:37,p218,Neutral,Disagree,The assistant often gave responses that were too general and did not directly address the specific board position or question I asked.
7/16/2026 11:01:28,p244,Strongly agree,Agree,
7/16/2026 11:09:27,p352,Agree,Agree,I didn't win the game but it still helped me with the question I asked.
7/16/2026 11:16:36,p265,Strongly agree,Strongly agree,
7/22/2026 12:59:20,p803,Agree,Agree,
7/22/2026 12:59:24,p740,Agree,Strongly agree,No
7/22/2026 13:04:24,p542,Agree,Neutral,"I found it useful to bounce ideas off. It also made me pause and think more, which prevented a game-losing mistake. I also liked that it didn't immediately give me the answer, but made me think and work it out for myself."
7/22/2026 13:04:59,p851,Agree,Agree,nothing additional responses were direct
7/22/2026 13:06:30,p725,Agree,Agree,no
7/22/2026 13:07:01,p149,Strongly agree,Strongly agree,I felt the AI assistant was really helpful but I think because they were so helpful and offered advice about the next game I spent too much time thinking about that and timed out of the current game. I didn't realise there was a time limit.
7/22/2026 13:07:21,p40,Strongly agree,Strongly agree,I liked the AI assistant a lot. I felt it read my overall tone and frame of mind and so could speak in a direct but informative manner that mimicked my thoughts and internal dialogue. 
7/22/2026 13:08:29,p149,Strongly agree,Strongly agree,I have answered this survey twice now so I think there might be an error.
7/22/2026 13:10:54,p537,Agree,Agree,
7/22/2026 13:12:38,p40,Agree,Strongly agree,"It was good, but could have been more affirmative once the unbeatable winning move appeared."
7/22/2026 13:18:44,p279,Agree,Agree,None
7/22/2026 13:23:50,p117,Agree,Strongly agree,
7/22/2026 13:25:41,p796,Strongly agree,Strongly agree,
7/22/2026 13:26:26,p796,Neutral,Neutral,I didn’t use it in this round.
7/22/2026 13:29:02,p51,Agree,Agree,I chose not to use it
7/22/2026 13:32:04,p51,Agree,Strongly agree,It advised on a defensive move rather than a winning one. Correct under the circumstances.
7/22/2026 13:33:51,p201,Strongly agree,Agree,The context that it gave as part of its answer was helpful in getting me to think about the 'why' so that I could generate good suggestions for the next move.
7/22/2026 13:39:32,p598,Strongly agree,Strongly agree,n/a
7/22/2026 13:44:15,p809,Agree,Strongly agree,
7/22/2026 13:48:09,p800,Agree,Strongly agree,"I liked it. I thought it was helpful to ask me how I felt about my move - if I said highly confident, I hope it wouldn't have offered more help. But I liked how it gave me advice about threats - my issue with Connect 4 is understanding what will happen in 2 or 3 moves time, so the AI is helpful for pointing out threats I may not see "
7/22/2026 14:00:15,601b a0712b0701c46459aab27,Agree,Agree,"The assistant struck a balance of advising about key strategy , without telling me exactly where to make my next move."
7/22/2026 14:03:19,p457,Agree,Strongly agree,"No, there's none."
7/22/2026 14:16:23,p142,Strongly agree,Strongly agree,
7/22/2026 14:29:40,p659,Agree,Agree,"It wasn't clear that the ai assistant only showed up after your first move, so at first I was confused and clicked off the page a couple times to try and see if there was other info."
7/22/2026 14:43:45,p748,Agree,Strongly agree,
7/22/2026 14:48:34,p829,Disagree,Agree,It did not understand the situation on the board well. It confused me and my opponent's roles and moves and so provided poor advice about moves to make.
7/22/2026 14:49:08,p280,Neutral,Agree,No
7/22/2026 14:49:54,p32,Agree,Strongly agree,"I felt the AI could have shown more interaction. I felt they gave the one answer and did not seek to offer alternatives or to provide other ideas or perspectives, but I think (hope) they were correct."
7/22/2026 14:57:06,p478,Neutral,Agree,No
7/22/2026 14:57:08,p548,Agree,Agree,It just fortified my beliefs about the moves I wanted to make. 
7/22/2026 14:59:12,p718,Agree,Agree,"Having the AI assistant state a preference on how it wanted me to format disc positions up front (as part of a welcome message?) would help eliminate some of the uncertainty in how best to communicate with it. It seemed to understand my x, x coordinates just fine, but if I didn't have the background to figure out how to technically express it, I'd be unsure how to describe or format it easily."
7/22/2026 15:03:56,p385,Agree,Strongly agree,
7/22/2026 15:10:12,p670,Strongly agree,Agree,"The assistant gave a clear, actionable line and correctly identified the diagonal threat. The column sequence 4 → 3 → 3 was concise and easy to apply."
7/22/2026 15:17:07,p543,Disagree,Neutral,
7/23/2026 9:14:43,p318,Agree,Strongly agree,
7/23/2026 9:16:03,p318,Neutral,Agree,
