pid,utt_ind,text,acts,n_acts,mean_conf,needs_review,outcome,SolReq,CommonGrd,KnowDef,ThinkAloud,Ack,Meta,ProvideInfo
p542,0,"I am thinking row 3, column 2. This would give me three in a row, as well as blocking the opponents diagonal streak. Thoughts?",CommonGrd|ThinkAloud,2,1.0,False,lost,0,1,0,1,0,0,0
p542,1,Do you recommend a different move?,SolReq,1,1.0,False,lost,1,0,0,0,0,0,0
p542,2,"Oh I've just seen I NEED to go column 4, or they will have a diagonal four.",ThinkAloud,1,1.0,False,lost,0,0,0,1,0,0,0
p542,3,"Column 3? This blocks their diagonal move, gives me three diagonal, and also gives me two horizontally",CommonGrd|ThinkAloud,2,0.83,False,lost,0,1,0,1,0,0,0
p542,4,"If I go there, they can block my existing diagonal three, so I will avoid that.",ThinkAloud,1,1.0,False,lost,0,0,0,1,0,0,0
p542,5,Column 5?,CommonGrd,1,1.0,False,lost,0,1,0,0,0,0,0
p201,0,I was thinking of putting one in 3-3,ThinkAloud,1,1.0,False,won,0,0,0,1,0,0,0
p201,1,it would prevent yellow and open up one opportuhity for me,ThinkAloud,1,1.0,False,won,0,0,0,1,0,0,0
p201,2,what is the best next move,SolReq,1,1.0,False,won,1,0,0,0,0,0,0
p310,0,What threats do you see. I am about to move into column 3. will this work,CommonGrd|KnowDef|ThinkAloud,3,0.89,False,won,0,1,1,1,0,0,0
p310,1,what would you suggest,SolReq,1,1.0,False,won,1,0,0,0,0,0,0
p310,2,so just block up column 4 here. what's best to win with 2 moves left,SolReq|ThinkAloud,2,0.83,False,won,1,0,0,1,0,0,0
p310,3,ok what next,SolReq|Ack,2,1.0,False,won,1,0,0,0,1,0,0
p310,4,any risks to column 5,CommonGrd,1,0.67,False,won,0,1,0,0,0,0,0
p847,0,was my last move good?,CommonGrd,1,1.0,False,won,0,1,0,0,0,0,0
p773,0,are there any threats on the board?,KnowDef,1,1.0,False,lost,0,0,1,0,0,0,0
p773,1,what is the best next 3 moves,SolReq,1,1.0,False,lost,1,0,0,0,0,0,0
p773,2,are there any threats?,KnowDef,1,1.0,False,lost,0,0,1,0,0,0,0
p773,3,what is my next best move?,SolReq,1,1.0,False,lost,1,0,0,0,0,0,0
p664,0,i am considering dropping in the second column what do you think,CommonGrd|ThinkAloud,2,1.0,False,won,0,1,0,1,0,0,0
p648,0,"Hi! If I put the first move into row 3, column 3, would that be best?",CommonGrd,1,1.0,False,won,0,1,0,0,0,0,0
p648,1,"Okay, done. I think I have to play in column 4 again.",ThinkAloud|Ack,2,1.0,False,won,0,0,0,1,1,0,0
p648,2,"If I don't put it there, won't yellow just win by placing it there next round?",CommonGrd,1,1.0,False,won,0,1,0,0,0,0,0
