pid,round,puzzle,ai,transfer,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
p59,R1,oc20260727,True,False,1,40,bachelors,few_times_week,True,1,5,manual,6,6,3,3,6,3,True,0,0.0,124,True,41,23,18,True,b7 c8 a7 a3 a1 h1,1,True,2,1,4,0.25,0,0,0,46,Strugglers
p59,R2,b220260706,False,True,1,40,bachelors,few_times_week,True,1,0,manual,2,0,2,0,0,0,False,30,15.0,3,True,23,41,-18,False,g1! g2!,1,False,2,1,4,0.25,0,0,0,46,Strugglers
p59,R3,bg20260726,False,True,1,40,bachelors,few_times_week,True,1,0,manual,2,1,2,1,0,0,False,16,8.0,2,True,26,38,-12,False,h7! g8,1,False,2,1,4,0.25,0,0,0,46,Strugglers
p825,R1,oc20260727,True,False,dont_know,46,bachelors,never,False,1,5,manual,3,2,3,2,2,2,True,38,12.7,64,True,22,42,-20,False,b7 c8 b6!,1,False,2,2,4,0.5,0,0,0,24,Strugglers
p825,R2,b220260706,False,True,dont_know,46,bachelors,never,False,1,0,manual,2,1,2,1,0,0,False,16,8.0,8,True,30,34,-4,False,g2! g7,1,False,2,2,4,0.5,0,0,0,24,Strugglers
p825,R3,bg20260726,False,True,dont_know,46,bachelors,never,False,1,0,manual,2,1,2,1,0,0,False,8,4.0,3,True,30,34,-4,False,g8! g7,1,False,2,2,4,0.5,0,0,0,24,Strugglers
p272,R1,oc20260727,True,False,dont_know,33,some_college,weekly,False,1,5,manual,3,2,3,2,1,1,True,38,12.7,51,True,22,42,-20,False,b7 b6! b8,1,False,2,4,6,0.667,1,1,2,22,Solvers
p272,R2,b220260706,False,True,dont_know,33,some_college,weekly,False,1,0,manual,3,3,3,3,3,3,True,0,0.0,12,True,38,26,12,True,g7 h1 g2,1,True,2,4,6,0.667,1,1,2,22,Solvers
p272,R3,bg20260726,False,True,dont_know,33,some_college,weekly,False,1,0,manual,3,1,3,1,1,1,True,22,7.3,6,True,23,41,-18,False,b2 g7! h8!,1,False,2,4,6,0.667,1,1,2,22,Solvers
p323,R1,oc20260727,True,False,dont_know,27,hs_graduate,few_times_week,False,1,5,manual,4,2,3,2,2,2,True,28,7.0,50,True,27,37,-10,False,b7 c8 g2! b6!,1,False,2,3,5,0.6,1,1,1,14,Solvers
p323,R2,b220260706,False,True,dont_know,27,hs_graduate,few_times_week,False,1,0,manual,3,3,3,3,3,3,True,0,0.0,11,True,38,26,12,True,g7 h1 g2,1,True,2,3,5,0.6,1,1,1,14,Solvers
p323,R3,bg20260726,False,True,dont_know,27,hs_graduate,few_times_week,False,1,0,manual,2,0,2,0,0,0,False,14,7.0,3,True,27,37,-10,False,g8! h7!,1,False,2,3,5,0.6,1,1,1,14,Solvers
p388,R1,oc20260727,True,False,2,63,some_college,few_times_month,True,2,5,manual,3,2,3,2,2,2,True,38,12.7,330,True,22,42,-20,False,b7 c8 b6!,1,False,2,1,5,0.2,0,0,1,52,Strugglers
p388,R2,b220260706,False,True,2,63,some_college,few_times_month,True,2,0,manual,2,0,2,0,0,0,False,30,15.0,6,True,23,41,-18,False,g1! g2!,1,False,2,1,5,0.2,0,0,1,52,Strugglers
p388,R3,bg20260726,False,True,2,63,some_college,few_times_month,True,2,0,manual,3,1,3,1,1,1,True,22,7.3,16,True,23,41,-18,False,b2 g7! h8!,1,False,2,1,5,0.2,0,0,1,52,Strugglers
p674,R1,oc20260727,True,False,2,41,postgrad,few_times_month,False,2,9,manual,6,6,3,3,6,3,True,0,0.0,163,True,41,23,18,True,b7 c8 a7 a3 a1 h1,1,True,2,1,4,0.25,0,0,0,38,Strugglers
p674,R2,b220260706,False,True,2,41,postgrad,few_times_month,False,2,0,manual,2,1,2,1,0,0,False,14,7.0,6,True,31,33,-2,False,g1! g7,1,False,2,1,4,0.25,0,0,0,38,Strugglers
p674,R3,bg20260726,False,True,2,41,postgrad,few_times_month,False,2,0,manual,2,0,2,0,0,0,False,24,12.0,3,True,22,42,-20,False,g7! g8!,1,False,2,1,4,0.25,0,0,0,38,Strugglers
p200,R1,oc20260727,True,False,1,34,postgrad,about_monthly,False,3,6,manual,5,4,3,2,0,0,False,32,6.4,133,True,25,39,-14,False,g2! b6 b7 c8 a8,1,False,2,2,5,0.4,0,0,1,44,Strugglers
p200,R2,b220260706,False,True,1,34,postgrad,about_monthly,False,3,0,manual,2,0,2,0,0,0,False,30,15.0,3,True,23,41,-18,False,g1! g2!,1,False,2,2,5,0.4,0,0,1,44,Strugglers
p200,R3,bg20260726,False,True,1,34,postgrad,about_monthly,False,3,0,manual,3,2,3,2,1,1,True,14,4.7,11,True,27,37,-10,False,b2 g7! h7,1,False,2,2,5,0.4,0,0,1,44,Strugglers
p65,R1,oc20260727,True,False,dont_know,39,associate,few_times_week,False,1,5,manual,4,3,3,3,3,3,True,36,9.0,121,True,23,41,-18,False,b7 c8 a7 g2!,1,False,2,2,5,0.4,0,0,1,32,Strugglers
p65,R2,b220260706,False,True,dont_know,39,associate,few_times_week,False,1,0,manual,2,1,2,1,0,0,False,16,8.0,12,True,30,34,-4,False,g2! g7,1,False,2,2,5,0.4,0,0,1,32,Strugglers
p65,R3,bg20260726,False,True,dont_know,39,associate,few_times_week,False,1,0,manual,3,1,3,1,1,1,True,16,5.3,19,True,26,38,-12,False,b2 h7! g7!,1,False,2,2,5,0.4,0,0,1,32,Strugglers
p112,R1,oc20260727,True,False,1,32,bachelors,daily,True,1,5,manual,5,4,3,3,5,3,True,16,3.2,266,True,33,31,2,True,b7 c8 a7 a3 g2!,1,False,2,1,4,0.25,0,0,0,36,Strugglers
p112,R2,b220260706,False,True,1,32,bachelors,daily,True,1,0,manual,2,1,2,1,0,0,False,14,7.0,4,True,31,33,-2,False,g1! g7,1,False,2,1,4,0.25,0,0,0,36,Strugglers
p112,R3,bg20260726,False,True,1,32,bachelors,daily,True,1,0,manual,2,0,2,0,0,0,False,22,11.0,2,True,23,41,-18,False,g7! h7!,1,False,2,1,4,0.25,0,0,0,36,Strugglers
