pid,Comprehension Gauging Question,Direct Instruction,Hint,Negative Feedback,Neutral Feedback,Paraphrase,Pose Simplified Problem,Positive Feedback,Prompt,Provide Correct Answer
p786,0.0,100.0,33.33333333333333,0.0,16.666666666666664,0.0,16.666666666666664,16.666666666666664,50.0,0.0
p226,0.0,100.0,60.0,0.0,20.0,0.0,20.0,0.0,60.0,0.0
p277,0.0,100.0,20.0,20.0,60.0,0.0,0.0,40.0,60.0,0.0
p780,0.0,80.0,80.0,0.0,20.0,0.0,40.0,0.0,60.0,0.0
p158,0.0,100.0,20.0,20.0,0.0,0.0,0.0,20.0,20.0,40.0
p62,0.0,100.0,40.0,20.0,0.0,0.0,20.0,0.0,20.0,20.0
p405,0.0,83.33333333333334,66.66666666666666,16.666666666666664,0.0,0.0,16.666666666666664,33.33333333333333,0.0,33.33333333333333
p602,0.0,100.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0
p552,0.0,100.0,40.0,0.0,10.0,0.0,0.0,20.0,20.0,50.0
p752,0.0,100.0,16.666666666666664,0.0,16.666666666666664,16.666666666666664,50.0,33.33333333333333,50.0,16.666666666666664
p777,0.0,100.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,20.0
p848,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
p131,0.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
p805,0.0,80.0,60.0,20.0,0.0,0.0,60.0,40.0,40.0,40.0
p591,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,40.0
p621,0.0,100.0,33.33333333333333,0.0,16.666666666666664,0.0,16.666666666666664,16.666666666666664,50.0,0.0
p705,0.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,80.0
p593,0.0,100.0,60.0,20.0,20.0,0.0,0.0,20.0,60.0,0.0
p150,0.0,100.0,44.44444444444444,22.22222222222222,22.22222222222222,0.0,11.11111111111111,22.22222222222222,55.55555555555556,11.11111111111111
p642,0.0,100.0,40.0,0.0,20.0,0.0,0.0,0.0,20.0,40.0
p717,0.0,100.0,33.33333333333333,16.666666666666664,33.33333333333333,0.0,0.0,0.0,33.33333333333333,16.666666666666664
p635,0.0,100.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,80.0
p528,0.0,100.0,40.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0
p632,0.0,83.33333333333334,83.33333333333334,0.0,0.0,0.0,33.33333333333333,33.33333333333333,66.66666666666666,0.0
p99,0.0,100.0,33.33333333333333,50.0,0.0,0.0,16.666666666666664,16.666666666666664,16.666666666666664,50.0
p688,0.0,100.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,100.0
p813,0.0,87.5,37.5,0.0,62.5,0.0,50.0,37.5,75.0,0.0
p268,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
p477,0.0,80.0,20.0,20.0,20.0,0.0,0.0,40.0,40.0,40.0
p258,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p791,0.0,100.0,14.285714285714285,0.0,14.285714285714285,14.285714285714285,0.0,0.0,0.0,100.0
p357,0.0,100.0,0.0,0.0,50.0,0.0,0.0,16.666666666666664,33.33333333333333,33.33333333333333
p404,0.0,100.0,60.0,0.0,40.0,20.0,20.0,0.0,80.0,0.0
p92,0.0,100.0,33.33333333333333,16.666666666666664,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333
p262,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
p706,0.0,100.0,37.5,0.0,12.5,12.5,12.5,0.0,37.5,25.0
p314,0.0,100.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,60.0
p157,0.0,100.0,20.0,0.0,20.0,0.0,0.0,0.0,60.0,40.0
p838,0.0,100.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0
p266,0.0,100.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,80.0
p545,0.0,80.0,0.0,20.0,20.0,0.0,0.0,20.0,60.0,0.0
p573,0.0,100.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,33.33333333333333,66.66666666666666
p252,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p334,0.0,100.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,60.0
p798,0.0,88.88888888888889,33.33333333333333,11.11111111111111,11.11111111111111,0.0,11.11111111111111,22.22222222222222,22.22222222222222,55.55555555555556
p611,0.0,100.0,14.285714285714285,42.857142857142854,14.285714285714285,0.0,14.285714285714285,28.57142857142857,28.57142857142857,28.57142857142857
p454,0.0,100.0,40.0,20.0,20.0,0.0,40.0,20.0,40.0,0.0
p383,0.0,80.0,0.0,0.0,20.0,0.0,0.0,40.0,20.0,80.0
p17,0.0,100.0,60.0,20.0,0.0,0.0,0.0,20.0,40.0,40.0
p669,0.0,100.0,80.0,0.0,20.0,0.0,40.0,40.0,40.0,0.0
p76,0.0,100.0,22.22222222222222,0.0,11.11111111111111,0.0,0.0,22.22222222222222,44.44444444444444,77.77777777777779
p332,0.0,100.0,10.0,20.0,20.0,0.0,0.0,10.0,30.0,40.0
p812,0.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
p286,0.0,100.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0
p722,0.0,100.0,20.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0
p155,0.0,100.0,0.0,20.0,20.0,0.0,0.0,0.0,20.0,20.0
p127,0.0,100.0,0.0,40.0,0.0,0.0,0.0,0.0,20.0,40.0
p86,0.0,85.71428571428571,71.42857142857143,0.0,14.285714285714285,0.0,14.285714285714285,28.57142857142857,28.57142857142857,14.285714285714285
p233,0.0,100.0,40.0,0.0,20.0,0.0,0.0,0.0,20.0,60.0
p749,0.0,100.0,60.0,0.0,20.0,0.0,20.0,40.0,40.0,20.0
p723,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p322,0.0,100.0,44.44444444444444,11.11111111111111,0.0,0.0,11.11111111111111,22.22222222222222,44.44444444444444,33.33333333333333
p534,0.0,100.0,20.0,0.0,0.0,0.0,20.0,0.0,20.0,40.0
p735,0.0,100.0,60.0,0.0,40.0,0.0,0.0,0.0,40.0,0.0
p329,0.0,100.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,80.0
p824,0.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,80.0
p530,0.0,100.0,40.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0
p783,0.0,100.0,40.0,40.0,20.0,0.0,0.0,40.0,20.0,0.0
p578,0.0,100.0,60.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0
p807,0.0,100.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,80.0
p123,0.0,100.0,60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
p797,0.0,100.0,0.0,0.0,0.0,0.0,12.5,25.0,12.5,75.0
p380,0.0,100.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,60.0
p707,10.0,100.0,30.0,20.0,10.0,0.0,10.0,0.0,20.0,60.0
p241,0.0,100.0,60.0,0.0,0.0,0.0,0.0,20.0,60.0,20.0
p636,0.0,100.0,80.0,40.0,0.0,0.0,40.0,0.0,40.0,20.0
p199,0.0,100.0,0.0,20.0,0.0,0.0,0.0,40.0,0.0,100.0
p616,0.0,100.0,40.0,0.0,0.0,0.0,20.0,0.0,40.0,40.0
p33,0.0,100.0,0.0,20.0,0.0,0.0,0.0,40.0,40.0,40.0
p392,0.0,100.0,42.857142857142854,14.285714285714285,28.57142857142857,0.0,14.285714285714285,42.857142857142854,42.857142857142854,42.857142857142854
p137,0.0,85.71428571428571,28.57142857142857,0.0,0.0,0.0,14.285714285714285,42.857142857142854,42.857142857142854,28.57142857142857
p523,0.0,100.0,40.0,20.0,20.0,20.0,0.0,20.0,40.0,20.0
p426,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
p346,0.0,100.0,0.0,40.0,0.0,0.0,0.0,40.0,20.0,40.0
p535,0.0,100.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,60.0
p736,0.0,100.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0
p785,0.0,100.0,25.0,0.0,12.5,0.0,12.5,0.0,25.0,50.0
p576,0.0,80.0,0.0,0.0,20.0,0.0,0.0,20.0,40.0,40.0
p484,0.0,80.0,20.0,40.0,0.0,0.0,0.0,20.0,0.0,40.0
p726,0.0,100.0,0.0,33.33333333333333,16.666666666666664,0.0,16.666666666666664,16.666666666666664,16.666666666666664,33.33333333333333
p745,0.0,100.0,0.0,0.0,33.33333333333333,0.0,0.0,33.33333333333333,16.666666666666664,16.666666666666664
p222,0.0,100.0,60.0,0.0,40.0,0.0,0.0,0.0,20.0,60.0
p30,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
p212,0.0,100.0,60.0,0.0,0.0,0.0,20.0,20.0,40.0,40.0
p24,0.0,100.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,50.0,66.66666666666666,33.33333333333333
p658,0.0,100.0,20.0,0.0,0.0,0.0,20.0,0.0,20.0,80.0
p190,0.0,100.0,75.0,0.0,25.0,0.0,25.0,0.0,50.0,25.0
p460,0.0,100.0,33.33333333333333,16.666666666666664,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0
p729,0.0,100.0,33.33333333333333,0.0,0.0,0.0,0.0,33.33333333333333,66.66666666666666,0.0
p713,0.0,100.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,100.0
p708,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0
p815,0.0,100.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,40.0
p795,0.0,100.0,20.0,20.0,60.0,0.0,0.0,20.0,100.0,0.0
p629,0.0,100.0,20.0,20.0,20.0,0.0,20.0,20.0,40.0,60.0
p843,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
p679,0.0,100.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,60.0
p61,0.0,100.0,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,66.66666666666666,0.0
p608,0.0,80.0,20.0,20.0,40.0,0.0,20.0,0.0,40.0,40.0
p55,0.0,100.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0
p368,0.0,80.0,0.0,0.0,20.0,20.0,20.0,20.0,60.0,20.0
p393,0.0,100.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,50.0
p284,0.0,100.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0,50.0
p628,0.0,85.71428571428571,28.57142857142857,14.285714285714285,14.285714285714285,0.0,14.285714285714285,14.285714285714285,28.57142857142857,57.14285714285714
p72,0.0,100.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,83.33333333333334
p395,0.0,80.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
p161,0.0,100.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,80.0
p463,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p240,0.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0
p823,0.0,100.0,20.0,0.0,20.0,0.0,20.0,0.0,40.0,40.0
ovieCommemorationRandomPackTCG,0.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,100.0
