,y,turns,density,LS_Comprehension Gauging Question,N_Comprehension Gauging Question,LS_Direct Instruction,N_Direct Instruction,LS_Hint,N_Hint,LS_Negative Feedback,N_Negative Feedback,LS_Neutral Feedback,N_Neutral Feedback,LS_Paraphrase,N_Paraphrase,LS_Pose Simplified Problem,N_Pose Simplified Problem,LS_Positive Feedback,N_Positive Feedback,LS_Prompt,N_Prompt,LS_Provide Correct Answer,N_Provide Correct Answer
p786,16.0,6,2.3333333333333335,0.0,0,42.857142857142854,6,14.285714285714286,2,0.0,0,7.142857142857143,1,0.0,0,7.142857142857143,1,7.142857142857143,1,21.428571428571427,3,0.0,0
p226,-8.0,5,2.6,0.0,0,38.46153846153846,5,23.076923076923077,3,0.0,0,7.6923076923076925,1,0.0,0,7.6923076923076925,1,0.0,0,23.076923076923077,3,0.0,0
p277,2.0,5,3.0,0.0,0,33.333333333333336,5,6.666666666666667,1,6.666666666666667,1,20.0,3,0.0,0,0.0,0,13.333333333333334,2,20.0,3,0.0,0
p780,-22.0,5,2.8,0.0,0,28.571428571428573,4,28.571428571428573,4,0.0,0,7.142857142857143,1,0.0,0,14.285714285714286,2,0.0,0,21.428571428571427,3,0.0,0
p158,-14.0,5,2.2,0.0,0,45.45454545454545,5,9.090909090909092,1,9.090909090909092,1,0.0,0,0.0,0,0.0,0,9.090909090909092,1,9.090909090909092,1,18.181818181818183,2
p62,-8.0,5,2.2,0.0,0,45.45454545454545,5,18.181818181818183,2,9.090909090909092,1,0.0,0,0.0,0,9.090909090909092,1,0.0,0,9.090909090909092,1,9.090909090909092,1
p405,4.0,6,2.5,0.0,0,33.333333333333336,5,26.666666666666668,4,6.666666666666667,1,0.0,0,0.0,0,6.666666666666667,1,13.333333333333334,2,0.0,0,13.333333333333334,2
p602,-8.0,5,1.8,0.0,0,55.55555555555556,5,11.11111111111111,1,0.0,0,11.11111111111111,1,0.0,0,0.0,0,0.0,0,11.11111111111111,1,11.11111111111111,1
p552,,10,2.4,0.0,0,41.666666666666664,10,16.666666666666668,4,0.0,0,4.166666666666667,1,0.0,0,0.0,0,8.333333333333334,2,8.333333333333334,2,20.833333333333332,5
p752,2.0,6,3.0,0.0,0,33.333333333333336,6,5.555555555555555,1,0.0,0,5.555555555555555,1,5.555555555555555,1,16.666666666666668,3,11.11111111111111,2,16.666666666666668,3,5.555555555555555,1
p777,-22.0,5,1.8,0.0,0,55.55555555555556,5,11.11111111111111,1,11.11111111111111,1,0.0,0,0.0,0,0.0,0,11.11111111111111,1,0.0,0,11.11111111111111,1
p848,,2,1.5,0.0,0,66.66666666666667,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,33.333333333333336,1
p131,-22.0,5,1.4,0.0,0,71.42857142857143,5,14.285714285714286,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.285714285714286,1,0.0,0
p805,-12.0,5,3.4,0.0,0,23.529411764705884,4,17.647058823529413,3,5.882352941176471,1,0.0,0,0.0,0,17.647058823529413,3,11.764705882352942,2,11.764705882352942,2,11.764705882352942,2
p591,-6.0,5,2.4,0.0,0,41.666666666666664,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,25.0,3,16.666666666666668,2,16.666666666666668,2
p621,-12.0,6,2.3333333333333335,0.0,0,42.857142857142854,6,14.285714285714286,2,0.0,0,7.142857142857143,1,0.0,0,7.142857142857143,1,7.142857142857143,1,21.428571428571427,3,0.0,0
p705,-22.0,5,2.0,0.0,0,50.0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10.0,1,0.0,0,40.0,4
p593,,5,2.8,0.0,0,35.714285714285715,5,21.428571428571427,3,7.142857142857143,1,7.142857142857143,1,0.0,0,0.0,0,7.142857142857143,1,21.428571428571427,3,0.0,0
p150,2.0,9,2.888888888888889,0.0,0,34.61538461538461,9,15.384615384615385,4,7.6923076923076925,2,7.6923076923076925,2,0.0,0,3.8461538461538463,1,7.6923076923076925,2,19.23076923076923,5,3.8461538461538463,1
p642,-12.0,5,2.2,0.0,0,45.45454545454545,5,18.181818181818183,2,0.0,0,9.090909090909092,1,0.0,0,0.0,0,0.0,0,9.090909090909092,1,18.181818181818183,2
p717,-6.0,6,2.3333333333333335,0.0,0,42.857142857142854,6,14.285714285714286,2,7.142857142857143,1,14.285714285714286,2,0.0,0,0.0,0,0.0,0,14.285714285714286,2,7.142857142857143,1
p635,-16.0,5,2.4,0.0,0,41.666666666666664,5,0.0,0,8.333333333333334,1,0.0,0,0.0,0,8.333333333333334,1,8.333333333333334,1,0.0,0,33.333333333333336,4
p528,-12.0,5,1.8,0.0,0,55.55555555555556,5,22.22222222222222,2,0.0,0,0.0,0,0.0,0,0.0,0,11.11111111111111,1,11.11111111111111,1,0.0,0
p632,-30.0,6,3.0,0.0,0,27.77777777777778,5,27.77777777777778,5,0.0,0,0.0,0,0.0,0,11.11111111111111,2,11.11111111111111,2,22.22222222222222,4,0.0,0
p99,2.0,6,2.8333333333333335,0.0,0,35.294117647058826,6,11.764705882352942,2,17.647058823529413,3,0.0,0,0.0,0,5.882352941176471,1,5.882352941176471,1,5.882352941176471,1,17.647058823529413,3
p688,2.0,6,2.3333333333333335,0.0,0,42.857142857142854,6,0.0,0,14.285714285714286,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,42.857142857142854,6
p813,-32.0,8,3.5,0.0,0,25.0,7,10.714285714285714,3,0.0,0,17.857142857142858,5,0.0,0,14.285714285714286,4,10.714285714285714,3,21.428571428571427,6,0.0,0
p268,-16.0,3,3.0,0.0,0,33.333333333333336,3,0.0,0,33.333333333333336,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,33.333333333333336,3
p477,-14.0,5,2.6,0.0,0,30.76923076923077,4,7.6923076923076925,1,7.6923076923076925,1,7.6923076923076925,1,0.0,0,0.0,0,15.384615384615385,2,15.384615384615385,2,15.384615384615385,2
p258,-32.0,5,2.0,0.0,0,50.0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,50.0,5
p791,-16.0,7,2.4285714285714284,0.0,0,41.1764705882353,7,5.882352941176471,1,0.0,0,5.882352941176471,1,5.882352941176471,1,0.0,0,0.0,0,0.0,0,41.1764705882353,7
p357,0.0,6,2.3333333333333335,0.0,0,42.857142857142854,6,0.0,0,0.0,0,21.428571428571427,3,0.0,0,0.0,0,7.142857142857143,1,14.285714285714286,2,14.285714285714286,2
p404,-6.0,5,3.2,0.0,0,31.25,5,18.75,3,0.0,0,12.5,2,6.25,1,6.25,1,0.0,0,25.0,4,0.0,0
p92,0.0,6,2.5,0.0,0,40.0,6,13.333333333333334,2,6.666666666666667,1,0.0,0,0.0,0,0.0,0,0.0,0,26.666666666666668,4,13.333333333333334,2
p262,-32.0,5,1.8,0.0,0,55.55555555555556,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44.44444444444444,4
p706,-30.0,8,2.375,0.0,0,42.10526315789474,8,15.789473684210526,3,0.0,0,5.2631578947368425,1,5.2631578947368425,1,5.2631578947368425,1,0.0,0,15.789473684210526,3,10.526315789473685,2
p314,-14.0,5,2.2,0.0,0,45.45454545454545,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,18.181818181818183,2,9.090909090909092,1,27.272727272727273,3
p157,-6.0,5,2.4,0.0,0,41.666666666666664,5,8.333333333333334,1,0.0,0,8.333333333333334,1,0.0,0,0.0,0,0.0,0,25.0,3,16.666666666666668,2
p838,-26.0,5,1.4,0.0,0,71.42857142857143,5,0.0,0,14.285714285714286,1,0.0,0,0.0,0,0.0,0,0.0,0,14.285714285714286,1,0.0,0
p266,-12.0,5,2.0,0.0,0,50.0,5,0.0,0,10.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,40.0,4
p545,-6.0,5,2.0,0.0,0,40.0,4,0.0,0,10.0,1,10.0,1,0.0,0,0.0,0,10.0,1,30.0,3,0.0,0
p573,-18.0,6,2.1666666666666665,0.0,0,46.15384615384615,6,7.6923076923076925,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.384615384615385,2,30.76923076923077,4
p252,,5,2.0,0.0,0,50.0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,50.0,5
p334,-30.0,5,1.8,0.0,0,55.55555555555556,5,0.0,0,0.0,0,11.11111111111111,1,0.0,0,0.0,0,0.0,0,0.0,0,33.333333333333336,3
