pid,y,r1_margin,Comprehension Gauging Question,Comprehension Gauging Question (present),Direct Instruction,Direct Instruction (present),Hint,Hint (present),Negative Feedback,Negative Feedback (present),Neutral Feedback,Neutral Feedback (present),Paraphrase,Paraphrase (present),Pose Simplified Problem,Pose Simplified Problem (present),Positive Feedback,Positive Feedback (present),Prompt,Prompt (present),Provide Correct Answer,Provide Correct Answer (present),Think Aloud_u,Solution Request_u
p786,16.0,-26.0,0.0,0.0,100.0,1.0,33.33333333333333,1.0,0.0,0.0,16.666666666666664,1.0,0.0,0.0,16.666666666666664,1.0,16.666666666666664,1.0,50.0,1.0,0.0,0.0,66.66666666666666,0.0
p226,-8.0,-24.0,0.0,0.0,100.0,1.0,60.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,60.0,1.0,0.0,0.0,20.0,0.0
p277,2.0,-22.0,0.0,0.0,100.0,1.0,20.0,1.0,20.0,1.0,60.0,1.0,0.0,0.0,0.0,0.0,40.0,1.0,60.0,1.0,0.0,0.0,60.0,0.0
p780,-22.0,-20.0,0.0,0.0,80.0,1.0,80.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,40.0,1.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0
p158,-14.0,-28.0,0.0,0.0,100.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,1.0,40.0,1.0,0.0,20.0
p62,-8.0,-20.0,0.0,0.0,100.0,1.0,40.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,20.0,1.0,20.0,1.0,20.0,20.0
p405,4.0,-18.0,0.0,0.0,83.33333333333334,1.0,66.66666666666666,1.0,16.666666666666664,1.0,0.0,0.0,0.0,0.0,16.666666666666664,1.0,33.33333333333333,1.0,0.0,0.0,33.33333333333333,1.0,50.0,50.0
p602,-8.0,-24.0,0.0,0.0,100.0,1.0,20.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,1.0,20.0,20.0
p552,,,0.0,0.0,100.0,1.0,40.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,1.0,50.0,1.0,0.0,0.0
p752,2.0,,0.0,0.0,100.0,1.0,16.666666666666664,1.0,0.0,0.0,16.666666666666664,1.0,16.666666666666664,1.0,50.0,1.0,33.33333333333333,1.0,50.0,1.0,16.666666666666664,1.0,100.0,16.666666666666664
p777,-22.0,-20.0,0.0,0.0,100.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,20.0,1.0,40.0,20.0
p848,,-2.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
p131,-22.0,-24.0,0.0,0.0,100.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,20.0,0.0
p805,-12.0,-18.0,0.0,0.0,80.0,1.0,60.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,60.0,1.0,40.0,1.0,40.0,1.0,40.0,1.0,0.0,20.0
p591,-6.0,-22.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,40.0,1.0,40.0,1.0,60.0,40.0
p621,-12.0,-20.0,0.0,0.0,100.0,1.0,33.33333333333333,1.0,0.0,0.0,16.666666666666664,1.0,0.0,0.0,16.666666666666664,1.0,16.666666666666664,1.0,50.0,1.0,0.0,0.0,66.66666666666666,16.666666666666664
p705,-22.0,18.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,80.0,1.0,0.0,60.0
p593,,-20.0,0.0,0.0,100.0,1.0,60.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,60.0,1.0,0.0,0.0,20.0,0.0
p150,2.0,-18.0,0.0,0.0,100.0,1.0,44.44444444444444,1.0,22.22222222222222,1.0,22.22222222222222,1.0,0.0,0.0,11.11111111111111,1.0,22.22222222222222,1.0,55.55555555555556,1.0,11.11111111111111,1.0,33.33333333333333,0.0
p642,-12.0,18.0,0.0,0.0,100.0,1.0,40.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,40.0,1.0,20.0,20.0
p717,-6.0,-20.0,0.0,0.0,100.0,1.0,33.33333333333333,1.0,16.666666666666664,1.0,33.33333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,1.0,16.666666666666664,1.0,50.0,16.666666666666664
p635,-16.0,18.0,0.0,0.0,100.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,1.0,0.0,0.0,80.0,1.0,20.0,0.0
p528,-12.0,-20.0,0.0,0.0,100.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,1.0,0.0,0.0,40.0,20.0
p632,-30.0,,0.0,0.0,83.33333333333334,1.0,83.33333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,1.0,33.33333333333333,1.0,66.66666666666666,1.0,0.0,0.0,33.33333333333333,16.666666666666664
p99,2.0,18.0,0.0,0.0,100.0,1.0,33.33333333333333,1.0,50.0,1.0,0.0,0.0,0.0,0.0,16.666666666666664,1.0,16.666666666666664,1.0,16.666666666666664,1.0,50.0,1.0,66.66666666666666,33.33333333333333
p688,2.0,18.0,0.0,0.0,100.0,1.0,0.0,0.0,33.33333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,50.0,50.0
p813,-32.0,-18.0,0.0,0.0,87.5,1.0,37.5,1.0,0.0,0.0,62.5,1.0,0.0,0.0,50.0,1.0,37.5,1.0,75.0,1.0,0.0,0.0,25.0,0.0
p268,-16.0,-18.0,0.0,0.0,100.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,33.33333333333333,0.0
p477,-14.0,-24.0,0.0,0.0,80.0,1.0,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,40.0,1.0,40.0,1.0,40.0,1.0,0.0,20.0
p258,-32.0,2.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0
p791,-16.0,18.0,0.0,0.0,100.0,1.0,14.285714285714285,1.0,0.0,0.0,14.285714285714285,1.0,14.285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,57.14285714285714,71.42857142857143
p357,0.0,-22.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,16.666666666666664,1.0,33.33333333333333,1.0,33.33333333333333,1.0,16.666666666666664,33.33333333333333
p404,-6.0,-6.0,0.0,0.0,100.0,1.0,60.0,1.0,0.0,0.0,40.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,80.0,1.0,0.0,0.0,80.0,0.0
p92,0.0,,0.0,0.0,100.0,1.0,33.33333333333333,1.0,16.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,1.0,33.33333333333333,1.0,33.33333333333333,33.33333333333333
p262,-32.0,18.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,0.0,20.0
p706,-30.0,-20.0,0.0,0.0,100.0,1.0,37.5,1.0,0.0,0.0,12.5,1.0,12.5,1.0,12.5,1.0,0.0,0.0,37.5,1.0,25.0,1.0,25.0,37.5
p314,-14.0,-18.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,20.0,1.0,60.0,1.0,60.0,40.0
p157,-6.0,-26.0,0.0,0.0,100.0,1.0,20.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,40.0,1.0,40.0,40.0
p838,-26.0,-20.0,0.0,0.0,100.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0
p266,-12.0,18.0,0.0,0.0,100.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,20.0,40.0
p545,-6.0,-24.0,0.0,0.0,80.0,1.0,0.0,0.0,20.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,60.0,1.0,0.0,0.0,40.0,0.0
p573,-18.0,18.0,0.0,0.0,100.0,1.0,16.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,1.0,66.66666666666666,1.0,16.666666666666664,66.66666666666666
p252,,,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0
p334,-30.0,-4.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,20.0,60.0
p798,-22.0,-4.0,0.0,0.0,88.88888888888889,1.0,33.33333333333333,1.0,11.11111111111111,1.0,11.11111111111111,1.0,0.0,0.0,11.11111111111111,1.0,22.22222222222222,1.0,22.22222222222222,1.0,55.55555555555556,1.0,55.55555555555556,22.22222222222222
p611,-12.0,,0.0,0.0,100.0,1.0,14.285714285714285,1.0,42.857142857142854,1.0,14.285714285714285,1.0,0.0,0.0,14.285714285714285,1.0,28.57142857142857,1.0,28.57142857142857,1.0,28.57142857142857,1.0,42.857142857142854,28.57142857142857
p454,-30.0,-16.0,0.0,0.0,100.0,1.0,40.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,40.0,1.0,20.0,1.0,40.0,1.0,0.0,0.0,60.0,0.0
p383,2.0,-8.0,0.0,0.0,80.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,40.0,1.0,20.0,1.0,80.0,1.0,40.0,40.0
p17,-20.0,18.0,0.0,0.0,100.0,1.0,60.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,40.0,1.0,40.0,1.0,20.0,20.0
p669,-20.0,,0.0,0.0,100.0,1.0,80.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,40.0,1.0,40.0,1.0,40.0,1.0,0.0,0.0,80.0,20.0
p76,-20.0,2.0,0.0,0.0,100.0,1.0,22.22222222222222,1.0,0.0,0.0,11.11111111111111,1.0,0.0,0.0,0.0,0.0,22.22222222222222,1.0,44.44444444444444,1.0,77.77777777777779,1.0,33.33333333333333,22.22222222222222
p332,,18.0,0.0,0.0,100.0,1.0,10.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,30.0,1.0,40.0,1.0,0.0,0.0
p812,-22.0,-20.0,0.0,0.0,100.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,0.0,80.0
p286,16.0,-20.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,20.0
p722,,-30.0,0.0,0.0,100.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,40.0,0.0
p155,-10.0,-20.0,0.0,0.0,100.0,1.0,0.0,0.0,20.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,1.0,0.0,20.0
p127,-14.0,-6.0,0.0,0.0,100.0,1.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,40.0,1.0,40.0,60.0
p86,-14.0,-22.0,0.0,0.0,85.71428571428571,1.0,71.42857142857143,1.0,0.0,0.0,14.285714285714285,1.0,0.0,0.0,14.285714285714285,1.0,28.57142857142857,1.0,28.57142857142857,1.0,14.285714285714285,1.0,0.0,14.285714285714285
p233,-32.0,2.0,0.0,0.0,100.0,1.0,40.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,60.0,1.0,20.0,40.0
p749,-14.0,16.0,0.0,0.0,100.0,1.0,60.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,20.0,1.0,40.0,1.0,40.0,1.0,20.0,1.0,20.0,20.0
p723,-24.0,18.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0
p322,16.0,18.0,0.0,0.0,100.0,1.0,44.44444444444444,1.0,11.11111111111111,1.0,0.0,0.0,0.0,0.0,11.11111111111111,1.0,22.22222222222222,1.0,44.44444444444444,1.0,33.33333333333333,1.0,77.77777777777779,11.11111111111111
p534,-8.0,,0.0,0.0,100.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,20.0,1.0,40.0,1.0,40.0,60.0
p735,-10.0,-26.0,0.0,0.0,100.0,1.0,60.0,1.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,20.0,20.0
p329,2.0,-18.0,0.0,0.0,100.0,1.0,20.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,80.0,1.0,20.0,60.0
p824,-30.0,2.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,80.0,1.0,0.0,80.0
p530,-20.0,-20.0,0.0,0.0,100.0,1.0,40.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,1.0,0.0,0.0,20.0,0.0
p783,-14.0,-20.0,0.0,0.0,100.0,1.0,40.0,1.0,40.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,40.0,1.0,20.0,1.0,0.0,0.0,60.0,0.0
p578,-22.0,-18.0,0.0,0.0,100.0,1.0,60.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,60.0
p807,-12.0,2.0,0.0,0.0,100.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,60.0,60.0
p123,-10.0,-24.0,0.0,0.0,100.0,1.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,20.0,0.0
p797,-14.0,18.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,1.0,25.0,1.0,12.5,1.0,75.0,1.0,12.5,50.0
p380,-22.0,16.0,0.0,0.0,100.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,20.0
p707,-30.0,,10.0,1.0,100.0,1.0,30.0,1.0,20.0,1.0,10.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,20.0,1.0,60.0,1.0,20.0,60.0
p241,-26.0,,0.0,0.0,100.0,1.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,60.0,1.0,20.0,1.0,40.0,20.0
p636,-20.0,18.0,0.0,0.0,100.0,1.0,80.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,40.0,1.0,20.0,1.0,40.0,20.0
p199,-30.0,18.0,0.0,0.0,100.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,100.0,1.0,20.0,60.0
p616,-26.0,-18.0,0.0,0.0,100.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,40.0,1.0,40.0,1.0,20.0,40.0
p33,6.0,-2.0,0.0,0.0,100.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,40.0,1.0,40.0,1.0,40.0,20.0
p392,-8.0,,0.0,0.0,100.0,1.0,42.857142857142854,1.0,14.285714285714285,1.0,28.57142857142857,1.0,0.0,0.0,14.285714285714285,1.0,42.857142857142854,1.0,42.857142857142854,1.0,42.857142857142854,1.0,28.57142857142857,0.0
p137,-8.0,16.0,0.0,0.0,85.71428571428571,1.0,28.57142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,1.0,42.857142857142854,1.0,42.857142857142854,1.0,28.57142857142857,1.0,85.71428571428571,0.0
p523,-28.0,-20.0,0.0,0.0,100.0,1.0,40.0,1.0,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,20.0,1.0,40.0,1.0,20.0,1.0,20.0,40.0
p426,-8.0,-22.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,60.0
p346,2.0,-20.0,0.0,0.0,100.0,1.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,20.0,1.0,40.0,1.0,60.0,0.0
p535,-10.0,-2.0,0.0,0.0,100.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,60.0,1.0,0.0,60.0
p736,2.0,-20.0,0.0,0.0,100.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,40.0,40.0
p785,-12.0,18.0,0.0,0.0,100.0,1.0,25.0,1.0,0.0,0.0,12.5,1.0,0.0,0.0,12.5,1.0,0.0,0.0,25.0,1.0,50.0,1.0,25.0,25.0
p576,-22.0,-18.0,0.0,0.0,80.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,40.0,1.0,40.0,1.0,20.0,0.0
p484,-8.0,-20.0,0.0,0.0,80.0,1.0,20.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,40.0,1.0,0.0,0.0
p726,-6.0,-10.0,0.0,0.0,100.0,1.0,0.0,0.0,33.33333333333333,1.0,16.666666666666664,1.0,0.0,0.0,16.666666666666664,1.0,16.666666666666664,1.0,16.666666666666664,1.0,33.33333333333333,1.0,50.0,0.0
