pid,round,puzzle,ai,transfer,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
p786,R1,oc20260727,True,False,1,34,postgrad,daily,False,3,6,manual,4,2,3,1,0,0,False,44,11.0,234,True,19,45,-26,False,c8! b8! g2 a7,1,False,2,6,6,1.0,2,2,2,0,Solvers
p786,R2,b220260706,False,True,1,34,postgrad,daily,False,3,0,manual,3,3,3,3,3,3,True,0,0.0,34,True,38,26,12,True,g7 h1 g2,1,True,2,6,6,1.0,2,2,2,0,Solvers
p786,R3,bg20260726,False,True,1,34,postgrad,daily,False,3,0,manual,3,3,3,3,3,3,True,0,0.0,42,True,34,30,4,True,b2 g8 h7,1,True,2,6,6,1.0,2,2,2,0,Solvers
p226,R1,oc20260727,True,False,2,36,bachelors,about_monthly,False,1,5,manual,3,1,3,1,0,0,False,42,14.0,23,True,20,44,-24,False,c8! a7 b6!,1,False,2,2,4,0.5,0,0,0,24,Strugglers
p226,R2,b220260706,False,True,2,36,bachelors,about_monthly,False,1,0,manual,2,1,2,1,0,0,False,16,8.0,17,True,30,34,-4,False,g2! g7,1,False,2,2,4,0.5,0,0,0,24,Strugglers
p226,R3,bg20260726,False,True,2,36,bachelors,about_monthly,False,1,0,manual,2,1,2,1,0,0,False,8,4.0,4,True,30,34,-4,False,g8! g7,1,False,2,2,4,0.5,0,0,0,24,Strugglers
p277,R1,oc20260727,True,False,1,45,bachelors,several_times_day,False,1,5,manual,4,3,3,2,0,0,False,40,10.0,94,True,21,43,-22,False,c8! g2 b6 a8,1,False,2,5,6,0.833,1,1,2,14,Solvers
p277,R2,b220260706,False,True,1,45,bachelors,several_times_day,False,1,0,manual,3,3,3,3,3,3,True,0,0.0,33,True,38,26,12,True,g7 h1 g2,1,True,2,5,6,0.833,1,1,2,14,Solvers
p277,R3,bg20260726,False,True,1,45,bachelors,several_times_day,False,1,0,manual,3,2,3,2,1,1,True,14,4.7,66,True,27,37,-10,False,b2 g7! h7,1,False,2,5,6,0.833,1,1,2,14,Solvers
p780,R1,oc20260727,True,False,1,34,bachelors,about_monthly,True,1,5,manual,5,3,3,3,3,3,True,38,7.6,293,True,22,42,-20,False,b7 c8 a7 a1! g2!,1,False,2,1,4,0.25,0,0,1,38,Strugglers
p780,R2,b220260706,False,True,1,34,bachelors,about_monthly,True,1,0,manual,2,1,2,1,1,1,True,12,6.0,3,True,32,32,0,False,g7 g2!,1,False,2,1,4,0.25,0,0,1,38,Strugglers
p780,R3,bg20260726,False,True,1,34,bachelors,about_monthly,True,1,0,manual,2,0,2,0,0,0,False,26,13.0,7,True,21,43,-22,False,h7! g7!,1,False,2,1,4,0.25,0,0,1,38,Strugglers
p158,R1,oc20260727,True,False,dont_know,49,bachelors,weekly,False,2,5,manual,5,3,3,2,0,0,False,46,9.2,124,True,18,46,-28,False,a7! g2 b6 b7! c8,1,False,2,3,5,0.6,1,1,1,30,Solvers
