participant,ts,optimal,status,secs_since_chat,chat_is_latest_event,post_chat
p673,2026-06-27T01:02:59.803008+00:00,True,ongoing,4.3,True,True
p673,2026-06-27T01:03:26.331839+00:00,True,ongoing,30.9,False,False
p673,2026-06-27T01:05:12.239191+00:00,True,ongoing,46.7,True,True
p673,2026-06-27T01:05:21.886580+00:00,True,ongoing,56.4,False,False
p673,2026-06-27T01:05:26.854391+00:00,True,solved,61.3,False,False
p255,2026-06-26T23:55:55.446042+00:00,True,ongoing,46.8,True,True
p255,2026-06-26T23:56:09.071304+00:00,True,ongoing,60.4,False,False
p255,2026-06-26T23:56:18.736527+00:00,False,retry,70.0,False,False
p255,2026-06-26T23:58:16.796156+00:00,False,retry,28.0,True,True
p255,2026-06-26T23:59:37.469206+00:00,False,retry,34.0,True,True
p255,2026-06-26T23:59:41.930963+00:00,False,retry,38.5,False,False
p255,2026-06-26T23:59:45.869117+00:00,False,retry,42.4,False,False
p255,2026-06-26T23:59:49.043278+00:00,False,failed,45.6,False,False
p503,2026-06-27T00:07:27.203875+00:00,True,ongoing,,False,False
p503,2026-06-27T00:07:39.122222+00:00,False,retry,,False,False
p503,2026-06-27T00:08:28.498553+00:00,True,ongoing,,False,False
p503,2026-06-27T00:08:43.657064+00:00,False,retry,,False,False
p503,2026-06-27T00:08:50.187276+00:00,False,retry,,False,False
p503,2026-06-27T00:09:02.656119+00:00,False,retry,,False,False
p503,2026-06-27T00:09:04.908154+00:00,False,retry,,False,False
p503,2026-06-27T00:09:28.751579+00:00,False,failed,,False,False
p503,2026-06-27T00:14:54.160125+00:00,False,retry,,False,False
p503,2026-06-27T00:14:57.737694+00:00,True,ongoing,,False,False
p503,2026-06-27T00:15:12.460691+00:00,False,retry,,False,False
p503,2026-06-27T00:15:17.408952+00:00,True,ongoing,,False,False
p503,2026-06-27T00:16:22.683799+00:00,False,retry,1.6,True,True
p503,2026-06-27T00:16:27.240758+00:00,False,retry,6.1,False,False
p503,2026-06-27T00:16:48.356683+00:00,False,retry,27.3,False,False
