participant,old_mean,old_pass,old_qwen,old_llama,old_gpt,new_mean,new_pass,new_qwen,new_llama,new_gpt,decision_changed,time_taken
p288,3.0,False,3,3,3,2.667,False,3,3,2,False,4.977
p250,3.0,False,3,3,3,3.0,True,3,3,3,True,3.377
p673,3.333,True,3,4,3,2.667,False,3,3,2,True,17.919
p640,3.0,True,3,3,3,3.0,True,3,3,3,False,5.931
p328,2.667,False,3,3,2,2.333,False,2,3,2,False,3.147
p156,2.333,False,2,3,2,2.0,False,2,2,2,False,2.79
p604,2.667,False,3,3,2,2.333,False,2,3,2,False,5.891
p255,3.0,True,3,3,3,2.667,False,3,3,2,True,3.732
p345,2.667,False,3,3,2,2.333,False,2,3,2,False,3.071
p503,3.0,True,4,3,2,2.667,False,3,3,2,True,4.726
p414,3.0,True,3,3,3,3.0,True,3,3,3,False,3.462
p188,3.0,False,3,3,3,3.0,True,3,3,3,True,3.048
p46,3.0,True,3,3,3,2.333,False,2,3,2,True,2.268
p506,2.667,False,3,3,2,2.0,False,2,2,2,False,3.993
p139,3.333,True,4,3,3,3.333,True,3,3,4,False,7.835
p757,2.333,False,2,3,2,2.0,False,2,2,2,False,1.853
p396,3.0,False,3,3,3,3.0,True,3,3,3,True,3.521
p116,2.333,False,2,3,2,1.0,False,1,1,1,False,1.523
p668,3.0,True,3,3,3,2.333,False,2,3,2,True,4.309
p613,3.0,True,3,3,3,3.0,True,3,3,3,False,2.963
p74,3.0,True,3,3,3,2.0,False,2,2,2,True,2.354
p431,3.0,False,3,3,3,3.0,True,3,3,3,True,3.079
p837,2.667,False,3,3,2,2.0,False,2,2,2,False,5.311
p462,2.667,False,3,3,2,1.0,False,1,1,1,False,2.117
p580,3.0,True,3,3,3,2.0,False,2,2,2,True,4.95
b,3.0,False,3,3,3,3.0,True,3,3,3,True,3.89
